ResourceID,ResourceID_mat,mmb_id,mmb_id_mat,card,order,Material Records
cdc2238a-bb75-5563-95b0-c8fd10288b1c,533382a9-575a-5833-b604-67b59652ea7c,tg:mmbbr:1578,tg:mmbbr:1578_#1,e73_MaterialRecords,1,"[{""resourceId"": ""533382a9-575a-5833-b604-67b59652ea7c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9645eee2-f17c-4db6-b15b-92af63848aa2"", ""inverseOntologyProperty"": """"}]"
97a23410-3c6f-5dc2-8f3f-6615bfcbbc0f,7944777a-a83c-5fd7-bf35-e6d3ae388e28,tg:mmbbr:1579,tg:mmbbr:1579_#1,e73_MaterialRecords,1,"[{""resourceId"": ""7944777a-a83c-5fd7-bf35-e6d3ae388e28"", ""ontologyProperty"": """", ""resourceXresourceId"": ""19f73da4-e497-456b-85c5-44fd9e3415c6"", ""inverseOntologyProperty"": """"}]"
880622da-d084-5086-bfd9-1c02532f5898,d8bb9d6f-75a1-5daf-a48a-ca84518e1b1f,tg:mmbbr:1580,tg:mmbbr:1580_#1,e73_MaterialRecords,1,"[{""resourceId"": ""d8bb9d6f-75a1-5daf-a48a-ca84518e1b1f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4c15ee4b-0996-4697-9ca3-c72d1fba824b"", ""inverseOntologyProperty"": """"}]"
ead18356-4451-5d74-b7da-1a2a23288625,dd5be8f3-22bd-5806-9f32-d74ba1e4fe17,tg:mmbbr:1654,tg:mmbbr:1654_#1,e73_MaterialRecords,1,"[{""resourceId"": ""dd5be8f3-22bd-5806-9f32-d74ba1e4fe17"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c4c681d1-b880-417f-9047-316892d32f02"", ""inverseOntologyProperty"": """"}]"
46b4d285-0acc-5415-a751-9ad3fb24246d,23e37905-4232-5923-9d60-da3fd825788d,tg:mmbbr:1655,tg:mmbbr:1655_#1,e73_MaterialRecords,1,"[{""resourceId"": ""23e37905-4232-5923-9d60-da3fd825788d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""40f19deb-e816-4fba-a771-41f5d6ec8393"", ""inverseOntologyProperty"": """"}]"
97e33dbc-7d55-53e1-ac59-f18338944a33,a83726a1-58bf-5d52-88b3-b5e78eef6895,tg:mmbbr:1640,tg:mmbbr:1640_#1,e73_MaterialRecords,1,"[{""resourceId"": ""a83726a1-58bf-5d52-88b3-b5e78eef6895"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a089eb79-fd8e-4872-af98-1660d81becb0"", ""inverseOntologyProperty"": """"}]"
528b3328-2900-5880-98fa-15f34402e479,92390240-7df4-58f8-bafa-48e3f9386a5f,tg:mmbbr:1641,tg:mmbbr:1641_#1,e73_MaterialRecords,1,"[{""resourceId"": ""92390240-7df4-58f8-bafa-48e3f9386a5f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""446b1f5f-1819-4dc6-97a9-3b109a741020"", ""inverseOntologyProperty"": """"}]"
842354d0-e967-56cb-ac2f-b15846f60c3c,c62a18b1-ed1d-5259-855d-467af4a25e06,tg:mmbbr:1642,tg:mmbbr:1642_#1,e73_MaterialRecords,1,"[{""resourceId"": ""c62a18b1-ed1d-5259-855d-467af4a25e06"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d3edc4ee-c24f-4af2-b212-17ce136e5442"", ""inverseOntologyProperty"": """"}]"
be1b49ba-639d-5df5-86dd-1ae3554bc41e,914b0932-c2dd-541c-ae11-f33af13d5bb8,tg:mmbbr:1643,tg:mmbbr:1643_#1,e73_MaterialRecords,1,"[{""resourceId"": ""914b0932-c2dd-541c-ae11-f33af13d5bb8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""396ea5f0-f4fb-4845-ae2b-725ce81a0f5b"", ""inverseOntologyProperty"": """"}]"
d3badfc9-d911-586c-b934-b5cf745e33e0,8da6f9c9-7af6-566d-aa5d-c3354a78528d,tg:mmbbr:1644,tg:mmbbr:1644_#1,e73_MaterialRecords,1,"[{""resourceId"": ""8da6f9c9-7af6-566d-aa5d-c3354a78528d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""13759b99-09f6-4213-9df9-df2bfe891694"", ""inverseOntologyProperty"": """"}]"
f9444421-69f1-5f84-b4de-81709dd1ad3a,d4259130-52a7-53d6-8742-9ed455db0170,tg:mmbbr:1645,tg:mmbbr:1645_#1,e73_MaterialRecords,1,"[{""resourceId"": ""d4259130-52a7-53d6-8742-9ed455db0170"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e1f1e1a1-8a49-49ba-be1d-6569f3fa2072"", ""inverseOntologyProperty"": """"}]"
15ba2f17-7c39-576d-9624-8c2466ee53e3,28698971-dff1-5b81-a8dc-d07432a0cb4c,tg:mmbbr:1646,tg:mmbbr:1646_#1,e73_MaterialRecords,1,"[{""resourceId"": ""28698971-dff1-5b81-a8dc-d07432a0cb4c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f34acd10-2804-4da0-a6d1-47a29324f1d7"", ""inverseOntologyProperty"": """"}]"
33488051-8dd5-50f6-a419-219ae1c03436,45083a79-fd12-500a-8368-1a201235a0bf,tg:mmbbr:2537,tg:mmbbr:2537_#1,e73_MaterialRecords,1,"[{""resourceId"": ""45083a79-fd12-500a-8368-1a201235a0bf"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d7abbe65-f58a-40fe-9800-e12975e68db0"", ""inverseOntologyProperty"": """"}]"
d6d6d0bc-ad90-544f-ac68-cf55ea45d4a4,43bd35c3-4138-599b-abaf-de0e03418bdc,tg:mmbbr:2538,tg:mmbbr:2538_#1,e73_MaterialRecords,1,"[{""resourceId"": ""43bd35c3-4138-599b-abaf-de0e03418bdc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""055df9c2-15b4-4c6d-b13f-cbf32f86bd99"", ""inverseOntologyProperty"": """"}]"
edbbcd41-0cfc-5d1d-897a-3250066999a0,b0e8ba61-903b-53f5-9528-30b4e331482e,tg:mmbbr:2539,tg:mmbbr:2539_#1,e73_MaterialRecords,1,"[{""resourceId"": ""b0e8ba61-903b-53f5-9528-30b4e331482e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e0aeaa19-8b09-4b2e-b4fb-ebde8da02381"", ""inverseOntologyProperty"": """"}]"
8c20518f-4b96-5830-89f0-bca6ca8328c3,0eac17e0-d434-5322-a17b-d908f80a2548,tg:mmbbr:2540,tg:mmbbr:2540_#1,e73_MaterialRecords,1,"[{""resourceId"": ""0eac17e0-d434-5322-a17b-d908f80a2548"", ""ontologyProperty"": """", ""resourceXresourceId"": ""781796ba-d8b3-48af-a2e5-b3778dde6540"", ""inverseOntologyProperty"": """"}]"
2b5dbcef-e3e6-59aa-94ea-308d57b0ef2c,f5eab361-413f-5bb2-9abc-cb8619f79276,tg:mmbbr:2541,tg:mmbbr:2541_#1,e73_MaterialRecords,1,"[{""resourceId"": ""f5eab361-413f-5bb2-9abc-cb8619f79276"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d3895215-51ec-4391-b12a-68c4f6314e06"", ""inverseOntologyProperty"": """"}]"
ca6f1b8f-80ed-5de5-9906-79a999cf2155,5e39a9a8-03dc-56b1-8362-c974ca01654a,tg:mmbbr:2542,tg:mmbbr:2542_#1,e73_MaterialRecords,1,"[{""resourceId"": ""5e39a9a8-03dc-56b1-8362-c974ca01654a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""391cc219-4968-4ba1-8d34-a037fdf1f009"", ""inverseOntologyProperty"": """"}]"
5d757215-d910-53b2-81cf-4d1518b3592d,af38c568-bccc-53c1-b17f-e36de2940d9f,tg:mmbbr:2543,tg:mmbbr:2543_#1,e73_MaterialRecords,1,"[{""resourceId"": ""af38c568-bccc-53c1-b17f-e36de2940d9f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""780cfe58-60ad-44ab-b3f8-bf3599ad4278"", ""inverseOntologyProperty"": """"}]"
4e6358fd-11e3-5251-ab7d-90eea01d38c1,b922a63d-f6cb-5500-8527-36c16c414a19,tg:mmbbr:2544,tg:mmbbr:2544_#1,e73_MaterialRecords,1,"[{""resourceId"": ""b922a63d-f6cb-5500-8527-36c16c414a19"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b334400c-3599-4ebc-ad9d-902e21680400"", ""inverseOntologyProperty"": """"}]"
12d7283a-bd25-5788-8e96-18afb55e0529,f074578c-a7c3-54c5-9e92-6532875aaa5a,tg:mmbbr:2545,tg:mmbbr:2545_#1,e73_MaterialRecords,1,"[{""resourceId"": ""f074578c-a7c3-54c5-9e92-6532875aaa5a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b4d0faa3-609e-4159-88ce-e87d728d46d0"", ""inverseOntologyProperty"": """"}]"
66ffda5f-c3b3-5947-8924-6fee7751192f,b96d7858-4aea-50e5-a9ed-1cdb374d457d,tg:mmbbr:2546,tg:mmbbr:2546_#1,e73_MaterialRecords,1,"[{""resourceId"": ""b96d7858-4aea-50e5-a9ed-1cdb374d457d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""87211dfa-1d0b-4d92-9085-8ed0481e1ece"", ""inverseOntologyProperty"": """"}]"
75c348f5-8141-5650-aff9-fa488aa048de,10b4a9f4-dbd0-59e9-a902-0807ebc1f9c1,tg:mmbbr:2547,tg:mmbbr:2547_#1,e73_MaterialRecords,1,"[{""resourceId"": ""10b4a9f4-dbd0-59e9-a902-0807ebc1f9c1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""03dbcf71-169f-412e-8bed-de74cee84fab"", ""inverseOntologyProperty"": """"}]"
