ResourceID,mmb_id,card,order,au_code,au_name,Connected Subject Role,Connected Subject Widget,Connected Subject Note
97e33dbc-7d55-53e1-ac59-f18338944a33,tg:mmbbr:1640,e73_ConnectedSubjects,3,au::115310:1,"Rothschild, Gustave de",subjects (content of works),"dlod={""suggest"":[""/agents/people/12220410"",""au::115310"",""au::115310:1"",""ark:/83110/x0/70f3c6da-f5d2-50d6-a66f-ef83238a2a2c"",""Gustave de Rothschild"",""ark:/83110/x0/b7cad52d-2dc9-5d1f-89a2-69e21180dd82""],""name"":""Gustave de Rothschild"",""ark"":""ark:/83110/x0/b7cad52d-2dc9-5d1f-89a2-69e21180dd82"",""uri"":""/agents/people/12220410"",""id"":""au::115310:1"",""resourceArk"":""ark:/83110/x0/70f3c6da-f5d2-50d6-a66f-ef83238a2a2c"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
842354d0-e967-56cb-ac2f-b15846f60c3c,tg:mmbbr:1642,e73_ConnectedSubjects,3,au::115311:1,"Errera, Isabelle",subjects (content of works),"dlod={""suggest"":[""/agents/people/12220411"",""au::115311"",""au::115311:1"",""ark:/83110/x0/17bf189e-e8b7-5a46-8e85-6f8f00ae5283"",""Isabelle Errera"",""ark:/83110/x0/342da859-f45e-5bcd-a730-00bf25fdb6da""],""name"":""Isabelle Errera"",""ark"":""ark:/83110/x0/342da859-f45e-5bcd-a730-00bf25fdb6da"",""uri"":""/agents/people/12220411"",""id"":""au::115311:1"",""resourceArk"":""ark:/83110/x0/17bf189e-e8b7-5a46-8e85-6f8f00ae5283"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
f9444421-69f1-5f84-b4de-81709dd1ad3a,tg:mmbbr:1645,e73_ConnectedSubjects,3,au::115309:1,"Baron, Stanislas",subjects (content of works),"dlod={""suggest"":[""/agents/people/12220409"",""au::115309"",""au::115309:1"",""ark:/83110/x0/a8cc5737-ab5a-58b9-b7df-6fed96f34a70"",""Stanislas Baron"",""ark:/83110/x0/2d411148-13b3-58f1-ae66-b6e1762cf2fb""],""name"":""Stanislas Baron"",""ark"":""ark:/83110/x0/2d411148-13b3-58f1-ae66-b6e1762cf2fb"",""uri"":""/agents/people/12220409"",""id"":""au::115309:1"",""resourceArk"":""ark:/83110/x0/a8cc5737-ab5a-58b9-b7df-6fed96f34a70"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
edbbcd41-0cfc-5d1d-897a-3250066999a0,tg:mmbbr:2539,e73_ConnectedSubjects,3,au::11460:1,"Leys, Henri",subjects (content of works),"dlod={""suggest"":[""/agents/people/1226220"",""au::11460"",""au::11460:1"",""ark:/83110/x0/e61a2d55-db99-560f-8b2b-031683e998ff"",""Henri Leys"",""ark:/83110/x0/1bc73f7a-362d-5210-9750-91b7114ade06""],""name"":""Henri Leys"",""ark"":""ark:/83110/x0/1bc73f7a-362d-5210-9750-91b7114ade06"",""uri"":""/agents/people/1226220"",""id"":""au::11460:1"",""resourceArk"":""ark:/83110/x0/e61a2d55-db99-560f-8b2b-031683e998ff"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
1e96a0c0-803b-5770-a4d4-e695d1816068,tg:mmbbr:1572,e73_ConnectedSubjects,3,au::5703:1,"Dilis, Emiel J. L.",subjects (content of works),"dlod={""suggest"":[""/agents/people/610221"",""au::5703"",""au::5703:1"",""ark:/83110/x0/076d0bb5-27fd-53c1-b089-060db4381a0d"",""Emiel J.L. Dilis"",""ark:/83110/x0/4b85ee01-b474-52a4-8706-dfef9e79a5d4""],""name"":""Emiel J.L. Dilis"",""ark"":""ark:/83110/x0/4b85ee01-b474-52a4-8706-dfef9e79a5d4"",""uri"":""/agents/people/610221"",""id"":""au::5703:1"",""resourceArk"":""ark:/83110/x0/076d0bb5-27fd-53c1-b089-060db4381a0d"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
611a95ca-ed61-5ce3-9f21-26045f29da2a,tg:mmbbr:1498,e73_ConnectedSubjects,3,au::12085:1,"Mayer van den Bergh, Fritz",subjects (content of works),"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh"",""ark:/83110/x0/23199a0b-b77f-518e-bda0-bef1fd5675a1""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/23199a0b-b77f-518e-bda0-bef1fd5675a1"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""resourceArk"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
62f5f251-21e9-50bb-8489-35f2e4e53331,tg:mmbbr:1503,e73_ConnectedSubjects,3,au::115285:1,"Hertoghe, Eugène",subjects (content of works),"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe"",""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""resourceArk"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
a200cfea-c06f-5957-9de5-3549fa8f31a2,tg:mmbbr:1504,e73_ConnectedSubjects,3,au::115285:1,"Hertoghe, Eugène",subjects (content of works),"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe"",""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""resourceArk"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
57127102-4619-54a2-bf1f-69f2f4940133,tg:mmbbr:1505,e73_ConnectedSubjects,3,au::115285:1,"Hertoghe, Eugène",subjects (content of works),"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe"",""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""resourceArk"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
d5263ae1-5075-556f-bdfc-2c6d983d8dce,tg:mmbbr:1554,e73_ConnectedSubjects,3,,"Vermeulen, Armand",subjects (content of works),,"Vermeulen, Armand"
39628433-ea67-501c-8323-2b85f995562f,tg:mmbbr:1638,e73_ConnectedSubjects,3,au::115274:1,"Peellaert, Juvenal",subjects (content of works),"dlod={""suggest"":[""/agents/people/12220401"",""au::115274"",""au::115274:1"",""ark:/83110/x0/e064c989-8deb-5037-869a-10dad3640d4a"",""Juvenal Peellaert"",""ark:/83110/x0/a482e922-185f-521f-8e9a-0f44adebeaae""],""name"":""Juvenal Peellaert"",""ark"":""ark:/83110/x0/a482e922-185f-521f-8e9a-0f44adebeaae"",""uri"":""/agents/people/12220401"",""id"":""au::115274:1"",""resourceArk"":""ark:/83110/x0/e064c989-8deb-5037-869a-10dad3640d4a"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
