ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
b3af710b-36c7-5e66-a884-1e7117083727,tg:lhph:9196_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:9196_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/b3af710b-36c7-5e66-a884-1e7117083727,object identifier,,,,,,,,,,
b3af710b-36c7-5e66-a884-1e7117083727,tg:lhph:9196_#1,e22_AcquisitionNumbers,1,60813/1,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3af710b-36c7-5e66-a884-1e7117083727,tg:lhph:9196_#1,e22_Acquisitions,1,,,tr:lh:3050,"dlod={""name"":""Archiefstukken van Emiel Hullebroeck"",""ark"":""ark:/24970/x0/7ff87cb8-eb6f-5264-aa5d-f1f31b29656f"",""uri"":""/repositories/11/accessions/326353"",""id"":""tr:lh:3050"",""date"":""1959-04-15"",""granter"":""Emiel Hullebroeck"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/7ff87cb8-eb6f-5264-aa5d-f1f31b29656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3af710b-36c7-5e66-a884-1e7117083727,tg:lhph:9196_#1,e22_Archives,1,,,,,,,,,,,isad:lh:93232,"dlod={""name"":""Foto's (verzameling)"",""ark"":""ark:/24970/x0/6bccbaec-d332-529f-b39a-d991a969fbb0"",""uri"":""/repositories/11/archival_objects/9975827"",""id"":""isad:lh:93232"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Emiel Hullebroeck"",""resourceArk"":""ark:/24970/x0/da6ebc41-7fd4-5b05-8d64-bf8864c860d4"",""resourceURI"":""/repositories/11/resources/113209"",""resourceID"":""isad:lh:1058"",""capacity"":""Foto's (verzameling)"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/6bccbaec-d332-529f-b39a-d991a969fbb0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3af710b-36c7-5e66-a884-1e7117083727,tg:lhph:9196_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,90 x 59,,,,,,,,,,"90 x 59 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3af710b-36c7-5e66-a884-1e7117083727,tg:lhph:9196_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,90,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3af710b-36c7-5e66-a884-1e7117083727,tg:lhph:9196_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,59,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3af710b-36c7-5e66-a884-1e7117083727,tg:lhph:9196_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:9196_#1,60813/1,S 535 / P,b3af710b-36c7-5e66-a884-1e7117083727,tr:lh:3050,isad:lh:93232,,,,,,,,,,,,,,,,,,,,,,
b3af710b-36c7-5e66-a884-1e7117083727,tg:lhph:9196_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,SC,,,,,,,,,,,,,,,,,,,,,,,,sepia prints,,,,,,,,,,,,,,,
b3af710b-36c7-5e66-a884-1e7117083727,tg:lhph:9196_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899.0,permission required,,,,,,,,
b3af710b-36c7-5e66-a884-1e7117083727,tg:lhph:9196_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yVgOVevTXQYdYPlEqGhD8CD0,lhph,https://dams.antwerpen.be/iiif/yVgOVevTXQYdYPlEqGhD8CD0/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/yVgOVevTXQYdYPlEqGhD8CD0,DAMS Image,lhph,Foto
