ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
c6909d03-ac0b-56bc-bc6e-3b4a0b4b2e33,tg:lhph:36605_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:36605_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/c6909d03-ac0b-56bc-bc6e-3b4a0b4b2e33,object identifier,,,,,,,,,,
c6909d03-ac0b-56bc-bc6e-3b4a0b4b2e33,tg:lhph:36605_#1,e22_AcquisitionNumbers,1,108874,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6909d03-ac0b-56bc-bc6e-3b4a0b4b2e33,tg:lhph:36605_#1,e22_Acquisitions,1,,,tr:lh:5477,"dlod={""name"":""Schenking van Emiel Willekens"",""ark"":""ark:/24970/x0/6f7c3c6a-106e-50be-a3cb-ef2f8a94b4fc"",""uri"":""/repositories/11/accessions/586042"",""id"":""tr:lh:5477"",""date"":""1979-06-13"",""granter"":""Emiel Willekens"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/6f7c3c6a-106e-50be-a3cb-ef2f8a94b4fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6909d03-ac0b-56bc-bc6e-3b4a0b4b2e33,tg:lhph:36605_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,90 x 120,,,,,,,,,,"90 x 120 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6909d03-ac0b-56bc-bc6e-3b4a0b4b2e33,tg:lhph:36605_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,90,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6909d03-ac0b-56bc-bc6e-3b4a0b4b2e33,tg:lhph:36605_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,120,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6909d03-ac0b-56bc-bc6e-3b4a0b4b2e33,tg:lhph:36605_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:36605_#1,108874,L 5384 / P,c6909d03-ac0b-56bc-bc6e-3b4a0b4b2e33,tr:lh:5477,,,,,,,,,,,,,,,,,,,,,,,
c6909d03-ac0b-56bc-bc6e-3b4a0b4b2e33,tg:lhph:36605_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,SC,,,,,,,,,,,,,,,,,,,,,,,,sepia prints,,,,,,,,,,,,,,,
c6909d03-ac0b-56bc-bc6e-3b4a0b4b2e33,tg:lhph:36605_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
c6909d03-ac0b-56bc-bc6e-3b4a0b4b2e33,tg:lhph:36605_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VbtQTRH8rJUUcjnIRBuuSEFz,lhph,https://dams.antwerpen.be/iiif/VbtQTRH8rJUUcjnIRBuuSEFz/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/VbtQTRH8rJUUcjnIRBuuSEFz,DAMS Image,lhph,Foto
