ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
ad458f34-92ee-596c-86a6-4f34e6877e5e,tg:lhph:14628_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:14628_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/ad458f34-92ee-596c-86a6-4f34e6877e5e,object identifier,,,,,,,,,,
ad458f34-92ee-596c-86a6-4f34e6877e5e,tg:lhph:14628_#1,e22_AcquisitionNumbers,1,9660,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad458f34-92ee-596c-86a6-4f34e6877e5e,tg:lhph:14628_#1,e22_Acquisitions,1,,,tr:lh:504,"dlod={""name"":""Archief van Herman van den Reeck"",""ark"":""ark:/24970/x0/1ae4d81b-7283-5ca1-98b8-70b6c5907d0a"",""uri"":""/repositories/11/accessions/53931"",""id"":""tr:lh:504"",""date"":""1936-04-30"",""granter"":""Jozef van den Reeck"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/1ae4d81b-7283-5ca1-98b8-70b6c5907d0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad458f34-92ee-596c-86a6-4f34e6877e5e,tg:lhph:14628_#1,e22_Archives,1,,,,,,,,,,,isad:lh:94556,"dlod={""name"":""Foto's i.v.m. Herman van den Reeck"",""ark"":""ark:/24970/x0/142d6903-eb93-541b-beab-7f1af76acc05"",""uri"":""/repositories/11/archival_objects/10117495"",""id"":""isad:lh:94556"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Herman van den Reeck"",""resourceArk"":""ark:/24970/x0/fee1ec17-31e7-5e6b-9c7e-739ae519ac78"",""resourceURI"":""/repositories/11/resources/969102"",""resourceID"":""isad:lh:9057"",""capacity"":""Foto's i.v.m. Herman van den Reeck"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/142d6903-eb93-541b-beab-7f1af76acc05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad458f34-92ee-596c-86a6-4f34e6877e5e,tg:lhph:14628_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,83 x 133,,,,,,,,,,"83 x 133 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad458f34-92ee-596c-86a6-4f34e6877e5e,tg:lhph:14628_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,83,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad458f34-92ee-596c-86a6-4f34e6877e5e,tg:lhph:14628_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,133,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad458f34-92ee-596c-86a6-4f34e6877e5e,tg:lhph:14628_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:14628_#1,9660,R 262 / P,ad458f34-92ee-596c-86a6-4f34e6877e5e,tr:lh:504,isad:lh:94556,,,,,,,,,,,,,,,,,,,,,,
ad458f34-92ee-596c-86a6-4f34e6877e5e,tg:lhph:14628_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
ad458f34-92ee-596c-86a6-4f34e6877e5e,tg:lhph:14628_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.0,permission required,,,,,,,,
ad458f34-92ee-596c-86a6-4f34e6877e5e,tg:lhph:14628_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z1sb8OQjfSijOSeSMqtqqCxf,lhph,https://dams.antwerpen.be/iiif/z1sb8OQjfSijOSeSMqtqqCxf/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/z1sb8OQjfSijOSeSMqtqqCxf,DAMS Image,lhph,Foto
