ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
ecc08cdb-d8d6-5fbd-a6a9-133c66855425,tg:lhph:42424_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:42424_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/ecc08cdb-d8d6-5fbd-a6a9-133c66855425,object identifier,,,,,,,,,,
ecc08cdb-d8d6-5fbd-a6a9-133c66855425,tg:lhph:42424_#1,e22_AcquisitionNumbers,1,165730/2,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecc08cdb-d8d6-5fbd-a6a9-133c66855425,tg:lhph:42424_#1,e22_Acquisitions,1,,,tr:lh:6690,"dlod={""name"":""Archief van Marc Edo Tralbaut"",""ark"":""ark:/24970/x0/54997752-1063-5c6a-b511-be04b3b6857d"",""uri"":""/repositories/11/accessions/715833"",""id"":""tr:lh:6690"",""date"":""1988-01-19"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/54997752-1063-5c6a-b511-be04b3b6857d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecc08cdb-d8d6-5fbd-a6a9-133c66855425,tg:lhph:42424_#1,e22_Archives,1,,,,,,,,,,,isad:lh:93071,"dlod={""name"":""Foto's (verzameling)"",""ark"":""ark:/24970/x0/1a2d8087-1680-5b38-87b9-9a8d1744e098"",""uri"":""/repositories/11/archival_objects/9958600"",""id"":""isad:lh:93071"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Marc Edo Tralbaut"",""resourceArk"":""ark:/24970/x0/f452cbac-0e1a-552b-9833-99f3fbba6511"",""resourceURI"":""/repositories/11/resources/2678"",""resourceID"":""isad:lh:25"",""capacity"":""Foto's (verzameling)"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/1a2d8087-1680-5b38-87b9-9a8d1744e098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecc08cdb-d8d6-5fbd-a6a9-133c66855425,tg:lhph:42424_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,124 x 173,,,,,,,,,,"124 x 173 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecc08cdb-d8d6-5fbd-a6a9-133c66855425,tg:lhph:42424_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,124,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecc08cdb-d8d6-5fbd-a6a9-133c66855425,tg:lhph:42424_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,173,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecc08cdb-d8d6-5fbd-a6a9-133c66855425,tg:lhph:42424_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:42424_#1,165730/2,B 807 / P,ecc08cdb-d8d6-5fbd-a6a9-133c66855425,tr:lh:6690,isad:lh:93071,,,,,,,,,,,,,,,,,,,,,,
ecc08cdb-d8d6-5fbd-a6a9-133c66855425,tg:lhph:42424_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
ecc08cdb-d8d6-5fbd-a6a9-133c66855425,tg:lhph:42424_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
ecc08cdb-d8d6-5fbd-a6a9-133c66855425,tg:lhph:42424_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ladWYfQYBcQTgjVUS16uNB1h,lhph,https://dams.antwerpen.be/iiif/ladWYfQYBcQTgjVUS16uNB1h/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/ladWYfQYBcQTgjVUS16uNB1h,DAMS Image,lhph,Foto
