ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
4b3be745-7972-56af-9e4f-0fd3e493fe36,tg:lhph:7558_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:7558_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/4b3be745-7972-56af-9e4f-0fd3e493fe36,object identifier,,,,,,,,,,
4b3be745-7972-56af-9e4f-0fd3e493fe36,tg:lhph:7558_#1,e22_AcquisitionNumbers,1,171334/110,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b3be745-7972-56af-9e4f-0fd3e493fe36,tg:lhph:7558_#1,e22_Acquisitions,1,,,tr:lh:6886,"dlod={""name"":""Archief van Stijn Streuvels"",""ark"":""ark:/24970/x0/324993da-592f-516c-9b05-85da809a85f0"",""uri"":""/repositories/11/accessions/736805"",""id"":""tr:lh:6886"",""date"":""1996-06-28"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/324993da-592f-516c-9b05-85da809a85f0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b3be745-7972-56af-9e4f-0fd3e493fe36,tg:lhph:7558_#1,e22_Archives,1,,,,,,,,,,,isad:lh:55238,"dlod={""name"":""Brieven van Rudolf Alexander Schröder"",""ark"":""ark:/24970/x0/a3ed0090-5157-59bd-9c17-28bf754daa45"",""uri"":""/repositories/11/archival_objects/5910469"",""id"":""isad:lh:55238"",""nameWithContext"":[""Briefwisseling"",""Brieven van vertalers""],""resourceName"":""Archief van Stijn Streuvels"",""resourceArk"":""ark:/24970/x0/8e2ef0d0-0956-564a-9da3-deb1a679c8e4"",""resourceURI"":""/repositories/11/resources/1822"",""resourceID"":""isad:lh:17"",""capacity"":""Brieven van Rudolf Alexander Schröder"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/a3ed0090-5157-59bd-9c17-28bf754daa45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b3be745-7972-56af-9e4f-0fd3e493fe36,tg:lhph:7558_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,135 x 86,,,,,,,,,,"135 x 86 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b3be745-7972-56af-9e4f-0fd3e493fe36,tg:lhph:7558_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,135,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b3be745-7972-56af-9e4f-0fd3e493fe36,tg:lhph:7558_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,86,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b3be745-7972-56af-9e4f-0fd3e493fe36,tg:lhph:7558_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:7558_#1,171334/110,S 935 / P,4b3be745-7972-56af-9e4f-0fd3e493fe36,tr:lh:6886,isad:lh:55238,,,,,,,,,,,,,,,,,,,,,,
4b3be745-7972-56af-9e4f-0fd3e493fe36,tg:lhph:7558_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
4b3be745-7972-56af-9e4f-0fd3e493fe36,tg:lhph:7558_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951.0,permission required,,,,,,,,
4b3be745-7972-56af-9e4f-0fd3e493fe36,tg:lhph:7558_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUNkTCDSHiBDTkFBaHrkDpcc,lhph,https://dams.antwerpen.be/iiif/GUNkTCDSHiBDTkFBaHrkDpcc/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/GUNkTCDSHiBDTkFBaHrkDpcc,DAMS Image,lhph,Foto
