ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
1df21a96-b2b7-5032-b222-1f12a3887120,tg:lhph:23543_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:23543_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/1df21a96-b2b7-5032-b222-1f12a3887120,object identifier,,,,,,,,,,
1df21a96-b2b7-5032-b222-1f12a3887120,tg:lhph:23543_#1,e22_AcquisitionNumbers,1,129424/5,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1df21a96-b2b7-5032-b222-1f12a3887120,tg:lhph:23543_#1,e22_Acquisitions,1,,,tr:lh:5938,"dlod={""name"":""Archief van Alfons Moortgat"",""ark"":""ark:/24970/x0/988f249e-5303-5310-b9f0-416bfcf93fa8"",""uri"":""/repositories/11/accessions/635369"",""id"":""tr:lh:5938"",""date"":""1982-03-22"",""granter"":""Gaby Moortgat"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/988f249e-5303-5310-b9f0-416bfcf93fa8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1df21a96-b2b7-5032-b222-1f12a3887120,tg:lhph:23543_#1,e22_Archives,1,,,,,,,,,,,isad:lh:95004,"dlod={""name"":""Foto's i.v.m. Alfons Moortgat"",""ark"":""ark:/24970/x0/18aeb1de-e0bd-5b2a-ac54-cf9d81b305a9"",""uri"":""/repositories/11/archival_objects/10165431"",""id"":""isad:lh:95004"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Alfons Moortgat"",""resourceArk"":""ark:/24970/x0/9d99bf99-b1ed-5121-a21b-ef7b63f26f61"",""resourceURI"":""/repositories/11/resources/119736"",""resourceID"":""isad:lh:1119"",""capacity"":""Foto's i.v.m. Alfons Moortgat"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/18aeb1de-e0bd-5b2a-ac54-cf9d81b305a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1df21a96-b2b7-5032-b222-1f12a3887120,tg:lhph:23543_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,220 x 280,,,,,,,,,,"220 x 280 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1df21a96-b2b7-5032-b222-1f12a3887120,tg:lhph:23543_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,220,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1df21a96-b2b7-5032-b222-1f12a3887120,tg:lhph:23543_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,280,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1df21a96-b2b7-5032-b222-1f12a3887120,tg:lhph:23543_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:23543_#1,129424/5,M 788 / P,1df21a96-b2b7-5032-b222-1f12a3887120,tr:lh:5938,isad:lh:95004,,,,,,,,,,,,,,,,,,,,,,
1df21a96-b2b7-5032-b222-1f12a3887120,tg:lhph:23543_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
1df21a96-b2b7-5032-b222-1f12a3887120,tg:lhph:23543_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910.0,permission required,,,,,,,,
1df21a96-b2b7-5032-b222-1f12a3887120,tg:lhph:23543_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1YKjUcdcTWMUEIS5ocSJ0Iv,lhph,https://dams.antwerpen.be/iiif/Q1YKjUcdcTWMUEIS5ocSJ0Iv/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/Q1YKjUcdcTWMUEIS5ocSJ0Iv,DAMS Image,lhph,Foto
