ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
93e6eb13-84e0-5ef8-969d-917b03bbdfde,tg:lhbr:144990,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:144990,https://data.letterenhuis.be/ark:/24970/93e6eb13-84e0-5ef8-969d-917b03bbdfde,Brieven,,,,,
93e6eb13-84e0-5ef8-969d-917b03bbdfde,tg:lhbr:144990,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.0,2077,In Copyright
93e6eb13-84e0-5ef8-969d-917b03bbdfde,tg:lhbr:144990,e73_CreationActors,,,au::18788,,,,lhbr,5e1c8dd5-0fda-5de2-8b95-15d94cef1def,bs,,au::18788:1,au::18788g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/2010316"",""au::18788"",""au::18788:1"",""ark:/83110/x0/5e1c8dd5-0fda-5de2-8b95-15d94cef1def"",""Herman Uyttersprot""],""name"":""Herman Uyttersprot"",""ark"":""ark:/83110/x0/5e1c8dd5-0fda-5de2-8b95-15d94cef1def"",""uri"":""/agents/people/2010316"",""id"":""au::18788:1"",""isCapacity"":false}",ark:/83110/x0/5e1c8dd5-0fda-5de2-8b95-15d94cef1def,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93e6eb13-84e0-5ef8-969d-917b03bbdfde,tg:lhbr:144990,e73_CreationActors,,,au::4855,,,,lhbr,42cde316-7cb6-5aa4-93c0-6e5223f31b7e,co,,au::4855:1,au::4855g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/519485"",""au::4855"",""au::4855:1"",""ark:/83110/x0/42cde316-7cb6-5aa4-93c0-6e5223f31b7e"",""Johan Daisne""],""name"":""Johan Daisne"",""ark"":""ark:/83110/x0/42cde316-7cb6-5aa4-93c0-6e5223f31b7e"",""uri"":""/agents/people/519485"",""id"":""au::4855:1"",""isCapacity"":false}",ark:/83110/x0/42cde316-7cb6-5aa4-93c0-6e5223f31b7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93e6eb13-84e0-5ef8-969d-917b03bbdfde,tg:lhbr:144990,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19620111,,,,,,,,,,,,,,,,,,,,,,,,,,
93e6eb13-84e0-5ef8-969d-917b03bbdfde,tg:lhbr:144990,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1962-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93e6eb13-84e0-5ef8-969d-917b03bbdfde,tg:lhbr:144990,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
93e6eb13-84e0-5ef8-969d-917b03bbdfde,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000136634,referentienummer,False,,,,,,,,,,,,
93e6eb13-84e0-5ef8-969d-917b03bbdfde,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:144990,brocade id,False,,,,,,,,,,,,
93e6eb13-84e0-5ef8-969d-917b03bbdfde,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:144990/N,brocade url,False,,,,,,,,,,,,
93e6eb13-84e0-5ef8-969d-917b03bbdfde,tg:lhbr:144990,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f2910422-e1a7-52b1-8049-934418cad854"", ""ontologyProperty"": """", ""resourceXresourceId"": ""10718f65-dedf-4569-b967-382f8da8e10f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
