ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
976b0c9e-9c47-5b13-a17b-da1a9b517e53,tg:mpmbr:1204,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:1204,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/976b0c9e-9c47-5b13-a17b-da1a9b517e53,object identifier,Brieven,,,,
976b0c9e-9c47-5b13-a17b-da1a9b517e53,tg:mpmbr:1204,Places,1,id/place.place,,,,,,,,,,,,,,,,,,,,,au::104810,,,,"dlod={""name"":""Amsterdam (Noord-Holland)"",""ark"":""ark:/83110/x0/636962b7-6ad0-5b44-83b4-9eb0958ecb76"",""uri"":""/subjects/11214670"",""id"":""au::104810"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976b0c9e-9c47-5b13-a17b-da1a9b517e53,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""18fd2aa8-d304-46d0-9600-d5415979660b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a36486b7-6c70-46b7-b0d4-f31697ba75d0"", ""inverseOntologyProperty"": """"}]"
976b0c9e-9c47-5b13-a17b-da1a9b517e53,tg:mpmbr:1204,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678,1793,No Copyright - Public Domain Mark 1.0,
976b0c9e-9c47-5b13-a17b-da1a9b517e53,tg:mpmbr:1204,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16780611,,,,,,,,,,,,,,,,,,,,,,,,,,,
976b0c9e-9c47-5b13-a17b-da1a9b517e53,tg:mpmbr:1204,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976b0c9e-9c47-5b13-a17b-da1a9b517e53,tg:mpmbr:1204,e73_Languages,1,kenmerken.mpmlanguage,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,
976b0c9e-9c47-5b13-a17b-da1a9b517e53,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000001188,referentienummer,False,,,,,,,,,,,,,
976b0c9e-9c47-5b13-a17b-da1a9b517e53,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:1204,brocade id,False,,,,,,,,,,,,,
976b0c9e-9c47-5b13-a17b-da1a9b517e53,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:1204/N,brocade url,False,,,,,,,,,,,,,
