ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
987b489c-d666-553f-bbf4-42e1c673575e,tg:mpmbr:842,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:842,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/987b489c-d666-553f-bbf4-42e1c673575e,object identifier,Brieven,,,,
987b489c-d666-553f-bbf4-42e1c673575e,tg:mpmbr:842,Places,1,id/place.place,,,,,,,,,,,,,,,,,,,,,au::100141,,,,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987b489c-d666-553f-bbf4-42e1c673575e,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""3cff5902-f0b9-443c-9315-ed591a82ff16"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7dcce090-c139-465b-8a9b-4f6a17767974"", ""inverseOntologyProperty"": """"}]"
987b489c-d666-553f-bbf4-42e1c673575e,tg:mpmbr:842,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676,1791,No Copyright - Public Domain Mark 1.0,
987b489c-d666-553f-bbf4-42e1c673575e,tg:mpmbr:842,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987b489c-d666-553f-bbf4-42e1c673575e,tg:mpmbr:842,e73_Languages,1,kenmerken.mpmlanguage,lat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin (language),,,,,,,,,,,,,,,,
987b489c-d666-553f-bbf4-42e1c673575e,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000000828,referentienummer,False,,,,,,,,,,,,,
987b489c-d666-553f-bbf4-42e1c673575e,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:842,brocade id,False,,,,,,,,,,,,,
987b489c-d666-553f-bbf4-42e1c673575e,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:842/N,brocade url,False,,,,,,,,,,,,,
987b489c-d666-553f-bbf4-42e1c673575e,tg:mpmbr:842,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e10f5563-8371-5890-87ef-ada5968c13cd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0989d751-2b03-4ed5-bdb9-71f004f0175f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,
987b489c-d666-553f-bbf4-42e1c673575e,tg:mpmbr:842,e73_Titles,,,au::106906,,,,mpm,mpmbr,Brief,455c1363-f306-5b61-91c4-2c01d43428ab,bs,,au::106906:1,au::106906g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11438942"",""au::106906"",""au::106906:1"",""ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab"",""Jan I Moretus"",""ark:/83110/x0/0026b2fc-a41d-5f87-8390-8814506dc5f4""],""name"":""Jan I Moretus"",""ark"":""ark:/83110/x0/0026b2fc-a41d-5f87-8390-8814506dc5f4"",""uri"":""/agents/people/11438942"",""id"":""au::106906:1"",""resourceArk"":""ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/455c1363-f306-5b61-91c4-2c01d43428ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987b489c-d666-553f-bbf4-42e1c673575e,tg:mpmbr:842,e73_Titles,,,au::107024,,,,mpm,mpmbr,Brief,c114a328-115a-5652-b99e-e2eb29df8423,co,,au::107024:1,au::107024g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/11451568"",""au::107024"",""au::107024:1"",""ark:/83110/x0/c114a328-115a-5652-b99e-e2eb29df8423"",""Cesare Baronio"",""ark:/83110/x0/01f1fc97-69eb-5fb8-8884-60a14a7135ae""],""name"":""Cesare Baronio"",""ark"":""ark:/83110/x0/01f1fc97-69eb-5fb8-8884-60a14a7135ae"",""uri"":""/agents/people/11451568"",""id"":""au::107024:1"",""resourceArk"":""ark:/83110/x0/c114a328-115a-5652-b99e-e2eb29df8423"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c114a328-115a-5652-b99e-e2eb29df8423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987b489c-d666-553f-bbf4-42e1c673575e,tg:mpmbr:842,e73_Titles,,,au::106908,,,,mpm,mpmbr,Brief,9f62622e-af8f-5120-8bb2-771de1268484,av,,au::106908:1,au::106908g:1,,,,au_code,originators (administrative),,"dlod={""suggest"":[""/agents/people/11439156"",""au::106908"",""au::106908:1"",""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""Balthasar I Moretus"",""ark:/83110/x0/4e6de5ef-6c8d-5a27-b44a-6604f7da8ad9""],""name"":""Balthasar I Moretus"",""ark"":""ark:/83110/x0/4e6de5ef-6c8d-5a27-b44a-6604f7da8ad9"",""uri"":""/agents/people/11439156"",""id"":""au::106908:1"",""resourceArk"":""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
