ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,Creation Actor Note,Creation Actor Role,museum,resource_model,ire.isaar.uuid,source_ire_type,ire.isaar.id,place_au_code,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,tg:rubgr:4517,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:4517,https://data.rubenianum.be//ark:/86530/1f2aa434-f4a4-5362-af8a-577a8fb8ec24,Brieven,,,,
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""db9172ee-7f94-4fed-92c1-27354e9027ac"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9a94f38b-1184-4b6a-bc2a-26411f089b71"", ""inverseOntologyProperty"": """"}]"
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,tg:rubgr:4517,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959.0,2074,In Copyright,
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,tg:rubgr:4517,e73_Correspondence,1,,,,,,,,,,,,,,,,"Nicolson, Benedict",correspondents (correspondence writers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,tg:rubgr:4517,e73_CreationActors,,,au::111146,,,,,,,rubgr_brief,,,,,,,,recipients (people),rub,Brief,8e6df2a1-cc0f-5a41-b61d-ec8b6ea9e1e1,be,au::111146:1,au::111146g:1,"dlod={""suggest"":[""/agents/people/11892622"",""au::111146"",""au::111146:1"",""ark:/83110/x0/8e6df2a1-cc0f-5a41-b61d-ec8b6ea9e1e1"",""Fritz Grossmann""],""name"":""Fritz Grossmann"",""ark"":""ark:/83110/x0/8e6df2a1-cc0f-5a41-b61d-ec8b6ea9e1e1"",""uri"":""/agents/people/11892622"",""id"":""au::111146:1"",""isCapacity"":false}",ark:/83110/x0/8e6df2a1-cc0f-5a41-b61d-ec8b6ea9e1e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,tg:rubgr:4517,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19590817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,tg:rubgr:4517,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,1959-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,tg:rubgr:4517,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Briefhoofd Burlington Magazine] Korte inhoud: Vindt dat de 'review' moet ingekort worden m.n. het stuk over de seizoenen. Er moeten 8 pagina's geschrapt worden.,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,tg:rubgr:4517,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nicolson, Benedict",,,,,,,,,,,,,,,,,,,,,,
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000004517,referentienummer,False,,,,,,,,,,,,,,,,,,,
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>6770</priref>
			<recipient>Grossmann, F.</recipient>
			<number>AFG_116_004</number>
			<date.precise>1959-08-17</date.precise>
			<content>[Briefhoofd Burlington Magazine] Korte inhoud: Vindt dat de 'review' moet ingekort worden m.n. het stuk over de seizoenen. Er moeten 8 pagina's geschrapt worden.</content>
			<object.object_number>AFG_116</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<class>AFG</class>
			<editorial_form>brief</editorial_form>
			<object.title>Miscellanea Bruegel &amp; others not needed at present</object.title>
			<keyword>Nicolson, Benedict</keyword>
			<sender>Nicolson, Benedict</sender>
			<object.creator/>
			<input.date>2014-07-15</input.date>
			<input.name>Centrum</input.name>
			<input.time>15:15:03</input.time>
			<input.source>archive</input.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:4517,brocade id,False,,,,,,,,,,,,,,,,,,,
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:4517/N,brocade url,False,,,,,,,,,,,,,,,,,,,
1f2aa434-f4a4-5362-af8a-577a8fb8ec24,tg:rubgr:4517,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fbb2db33-577f-5288-8a42-3de872057a9f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9a322504-9167-48ce-bebc-07f6133449f8"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,
