ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
3aabca66-75b8-5fb9-8e71-6f913213246a,tg:mpmbr:832,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:832,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/3aabca66-75b8-5fb9-8e71-6f913213246a,object identifier,Brieven,,,,
3aabca66-75b8-5fb9-8e71-6f913213246a,tg:mpmbr:832,Places,1,id/place.place,,,,,,,,,,,,,,,,,,,,,au::100963,,,,"dlod={""name"":""Leuven (Leuven)"",""ark"":""ark:/83110/x0/a0ba2368-b2db-57ce-a269-7ed06a8423fe"",""uri"":""/subjects/10803041"",""id"":""au::100963"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3aabca66-75b8-5fb9-8e71-6f913213246a,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""75be3e98-5185-49d8-8820-d54ff5a452e0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9d601b16-7890-4817-94ca-6ab0f7306536"", ""inverseOntologyProperty"": """"}]"
3aabca66-75b8-5fb9-8e71-6f913213246a,tg:mpmbr:832,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679,1794,No Copyright - Public Domain Mark 1.0,
3aabca66-75b8-5fb9-8e71-6f913213246a,tg:mpmbr:832,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,1592,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3aabca66-75b8-5fb9-8e71-6f913213246a,tg:mpmbr:832,e73_Languages,1,kenmerken.mpmlanguage,lat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin (language),,,,,,,,,,,,,,,,
3aabca66-75b8-5fb9-8e71-6f913213246a,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000000818,referentienummer,False,,,,,,,,,,,,,
3aabca66-75b8-5fb9-8e71-6f913213246a,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:832,brocade id,False,,,,,,,,,,,,,
3aabca66-75b8-5fb9-8e71-6f913213246a,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:832/N,brocade url,False,,,,,,,,,,,,,
3aabca66-75b8-5fb9-8e71-6f913213246a,tg:mpmbr:832,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f8e47ada-b426-52f0-a93a-0c91910913ad"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6ecb165c-b602-41f8-9391-48fc0854dd57"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,
