ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
7c8a194a-a034-5014-9f4e-fce5cb777e16,tg:mpmbr:761,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:761,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/7c8a194a-a034-5014-9f4e-fce5cb777e16,object identifier,Brieven,,,,
7c8a194a-a034-5014-9f4e-fce5cb777e16,tg:mpmbr:761,Places,1,id/place.place,,,,,,,,,,,,,,,,,,,,,au::102087,,,,"dlod={""name"":""Frankfurt am Main (Regierungsbezirk Darmstadt)"",""ark"":""ark:/83110/x0/f1cd9779-a9f2-53ed-81a7-dd990009167e"",""uri"":""/subjects/10923309"",""id"":""au::102087"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c8a194a-a034-5014-9f4e-fce5cb777e16,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b82f30e7-c6dd-4491-ab73-fba84d02fb5c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d88efcb6-8c0c-4d13-b594-76b1ec67b771"", ""inverseOntologyProperty"": """"}]"
7c8a194a-a034-5014-9f4e-fce5cb777e16,tg:mpmbr:761,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614,1729,No Copyright - Public Domain Mark 1.0,
7c8a194a-a034-5014-9f4e-fce5cb777e16,tg:mpmbr:761,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16140426,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c8a194a-a034-5014-9f4e-fce5cb777e16,tg:mpmbr:761,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c8a194a-a034-5014-9f4e-fce5cb777e16,tg:mpmbr:761,e73_Languages,1,kenmerken.mpmlanguage,lat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin (language),,,,,,,,,,,,,,,,
7c8a194a-a034-5014-9f4e-fce5cb777e16,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000000747,referentienummer,False,,,,,,,,,,,,,
7c8a194a-a034-5014-9f4e-fce5cb777e16,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:761,brocade id,False,,,,,,,,,,,,,
7c8a194a-a034-5014-9f4e-fce5cb777e16,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:761/N,brocade url,False,,,,,,,,,,,,,
7c8a194a-a034-5014-9f4e-fce5cb777e16,tg:mpmbr:761,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a16fb3fa-45f9-5c86-8bd8-7bcce6955910"", ""ontologyProperty"": """", ""resourceXresourceId"": ""63eda5c1-a37f-43fa-9007-b07737387569"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,
7c8a194a-a034-5014-9f4e-fce5cb777e16,tg:mpmbr:761,e73_Titles,,,au::106907,,,,mpm,mpmbr,Brief,7e0b8111-6d6a-5224-8df5-18ef038bd6e6,bs,,au::106907:1,au::106907g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11439049"",""au::106907"",""au::106907:1"",""ark:/83110/x0/7e0b8111-6d6a-5224-8df5-18ef038bd6e6"",""Jan II Moretus"",""ark:/83110/x0/202a361f-7525-5ed4-a5af-f74acde8a6b9""],""name"":""Jan II Moretus"",""ark"":""ark:/83110/x0/202a361f-7525-5ed4-a5af-f74acde8a6b9"",""uri"":""/agents/people/11439049"",""id"":""au::106907:1"",""resourceArk"":""ark:/83110/x0/7e0b8111-6d6a-5224-8df5-18ef038bd6e6"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7e0b8111-6d6a-5224-8df5-18ef038bd6e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c8a194a-a034-5014-9f4e-fce5cb777e16,tg:mpmbr:761,e73_Titles,,,au::106908,,,,mpm,mpmbr,Brief,9f62622e-af8f-5120-8bb2-771de1268484,co,,au::106908:1,au::106908g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/11439156"",""au::106908"",""au::106908:1"",""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""Balthasar I Moretus"",""ark:/83110/x0/4e6de5ef-6c8d-5a27-b44a-6604f7da8ad9""],""name"":""Balthasar I Moretus"",""ark"":""ark:/83110/x0/4e6de5ef-6c8d-5a27-b44a-6604f7da8ad9"",""uri"":""/agents/people/11439156"",""id"":""au::106908:1"",""resourceArk"":""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
