ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,Creation Actor Note,Creation Actor Role,museum,resource_model,ire.isaar.uuid,source_ire_type,ire.isaar.id,place_au_code,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
db76d372-4762-5611-af8b-3f83ddef7e42,tg:rubgr:4743,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:4743,https://data.rubenianum.be//ark:/86530/db76d372-4762-5611-af8b-3f83ddef7e42,Brieven,,,,
db76d372-4762-5611-af8b-3f83ddef7e42,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1a5e87e9-ee45-4bec-836a-761f82901bf9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8b6e2bd5-966b-4346-b17b-0ff7e87a43de"", ""inverseOntologyProperty"": """"}]"
db76d372-4762-5611-af8b-3f83ddef7e42,tg:rubgr:4743,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956.0,2071,In Copyright,
db76d372-4762-5611-af8b-3f83ddef7e42,tg:rubgr:4743,e73_Correspondence,1,,,,,,,,,,,,,,,,"Baur de Boer, P.",correspondents (correspondence writers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db76d372-4762-5611-af8b-3f83ddef7e42,tg:rubgr:4743,e73_CreationActors,,,au::111146,,,,,,,rubgr_brief,,,,,,,,recipients (people),rub,Brief,8e6df2a1-cc0f-5a41-b61d-ec8b6ea9e1e1,be,au::111146:1,au::111146g:1,"dlod={""suggest"":[""/agents/people/11892622"",""au::111146"",""au::111146:1"",""ark:/83110/x0/8e6df2a1-cc0f-5a41-b61d-ec8b6ea9e1e1"",""Fritz Grossmann""],""name"":""Fritz Grossmann"",""ark"":""ark:/83110/x0/8e6df2a1-cc0f-5a41-b61d-ec8b6ea9e1e1"",""uri"":""/agents/people/11892622"",""id"":""au::111146:1"",""isCapacity"":false}",ark:/83110/x0/8e6df2a1-cc0f-5a41-b61d-ec8b6ea9e1e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db76d372-4762-5611-af8b-3f83ddef7e42,tg:rubgr:4743,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19560727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db76d372-4762-5611-af8b-3f83ddef7e42,tg:rubgr:4743,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,1956-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db76d372-4762-5611-af8b-3f83ddef7e42,tg:rubgr:4743,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Briefhoofd P. Baur de Boer, Hergiswil] Korte inhoud: [Taal, Duits] Het bewuste werk kan niet langer in Zwitserland blijven.",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db76d372-4762-5611-af8b-3f83ddef7e42,tg:rubgr:4743,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baur de Boer, P.",,,,,,,,,,,,,,,,,,,,,,
db76d372-4762-5611-af8b-3f83ddef7e42,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000004743,referentienummer,False,,,,,,,,,,,,,,,,,,,
db76d372-4762-5611-af8b-3f83ddef7e42,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
<priref>6996</priref>
<recipient>Grossmann, F.</recipient>
<number>AFG_128_043</number>
<date.precise>1956-07-27</date.precise>
<content>[Briefhoofd P. Baur de Boer, Hergiswil] Korte inhoud: [Taal, Duits] Het bewuste werk kan niet langer in zwitserland blijven.</content>
<object.object_number>AFG_128</object.object_number>
<object.object_name>Dossier</object.object_name>
<class>AFG</class>
<editorial_form>brief</editorial_form>
<object.title>[Folders & envelopes]</object.title>
<keyword>Baur de Boer, P.</keyword>
<sender>Baur de Boer, P.</sender>
<object.creator/>
<input.date>2014-07-25</input.date>
<edit.date>2014-07-25</edit.date>
<input.name>Centrum</input.name>
<edit.name>Centrum</edit.name>
<edit.time>12:00:44</edit.time>
<input.time>11:58:16</input.time>
<input.source>archive</input.source>
<edit.source>archive</edit.source>
</record>

",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,
db76d372-4762-5611-af8b-3f83ddef7e42,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:4743,brocade id,False,,,,,,,,,,,,,,,,,,,
db76d372-4762-5611-af8b-3f83ddef7e42,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:4743/N,brocade url,False,,,,,,,,,,,,,,,,,,,
