ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
95f4df38-1c73-5386-a839-f86ecd421a1c,tg:mpmbr:694,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:694,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/95f4df38-1c73-5386-a839-f86ecd421a1c,object identifier,Brieven,,,,
95f4df38-1c73-5386-a839-f86ecd421a1c,tg:mpmbr:694,Places,1,id/place.place,,,,,,,,,,,,,,,,,,,,,au::105711,,,,"dlod={""name"":""Cádiz (Provincia de Cádiz)"",""ark"":""ark:/83110/x0/5a5d1b29-515d-5adb-b732-81c9ec22ba56"",""uri"":""/subjects/11311077"",""id"":""au::105711"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95f4df38-1c73-5386-a839-f86ecd421a1c,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""cc7a8b83-8256-4125-ab79-7db786089f21"", ""ontologyProperty"": """", ""resourceXresourceId"": ""be4283f6-f97e-4461-93bc-893efb73706b"", ""inverseOntologyProperty"": """"}]"
95f4df38-1c73-5386-a839-f86ecd421a1c,tg:mpmbr:694,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678,1793,No Copyright - Public Domain Mark 1.0,
95f4df38-1c73-5386-a839-f86ecd421a1c,tg:mpmbr:694,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16780619,,,,,,,,,,,,,,,,,,,,,,,,,,,
95f4df38-1c73-5386-a839-f86ecd421a1c,tg:mpmbr:694,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95f4df38-1c73-5386-a839-f86ecd421a1c,tg:mpmbr:694,e73_Languages,1,kenmerken.mpmlanguage,spa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spanish (language),,,,,,,,,,,,,,,,
95f4df38-1c73-5386-a839-f86ecd421a1c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000000680,referentienummer,False,,,,,,,,,,,,,
95f4df38-1c73-5386-a839-f86ecd421a1c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:694,brocade id,False,,,,,,,,,,,,,
95f4df38-1c73-5386-a839-f86ecd421a1c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:694/N,brocade url,False,,,,,,,,,,,,,
