ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
9992f142-b82f-58b4-9326-151975228b11,tg:lhbr:25038,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:25038,https://data.letterenhuis.be/ark:/24970/9992f142-b82f-58b4-9326-151975228b11,Brieven,,,,,
9992f142-b82f-58b4-9326-151975228b11,tg:lhbr:25038,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969.0,2084,In Copyright
9992f142-b82f-58b4-9326-151975228b11,tg:lhbr:25038,e73_CreationActors,,,au::3552:::MWV.1,,,,lhbr,4f7860cc-fa3d-5793-ae5a-90973e26f6a7,bs,,au::3552:1::MWV.1,au::3552g:1::MWV.1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/380064"",""au::3552"",""au::3552:1"",""ark:/83110/x0/2f757418-3a95-58a7-9fbf-fd532d951b74"",""Antoon Carette [Medewerker van Belgische Radio en Televisie]""],""name"":""Antoon Carette [Medewerker van Belgische Radio en Televisie]"",""ark"":""ark:/83110/x0/2f757418-3a95-58a7-9fbf-fd532d951b74"",""uri"":""/agents/people/380064"",""id"":""au::3552:1"",""capacity"":""Medewerker van Belgische Radio en Televisie"",""isCapacity"":true,""relatorRaw"":""au::3552:1::MWV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2f757418-3a95-58a7-9fbf-fd532d951b74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9992f142-b82f-58b4-9326-151975228b11,tg:lhbr:25038,e73_CreationActors,,,au::21676,,,,lhbr,c8da667f-0fb9-5b48-8c13-929903c602bc,co,,au::21676:1,au::21676g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/2319332"",""au::21676"",""au::21676:1"",""ark:/83110/x0/c8da667f-0fb9-5b48-8c13-929903c602bc"",""Philippe Wouters""],""name"":""Philippe Wouters"",""ark"":""ark:/83110/x0/c8da667f-0fb9-5b48-8c13-929903c602bc"",""uri"":""/agents/people/2319332"",""id"":""au::21676:1"",""isCapacity"":false}",ark:/83110/x0/c8da667f-0fb9-5b48-8c13-929903c602bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9992f142-b82f-58b4-9326-151975228b11,tg:lhbr:25038,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19691010,,,,,,,,,,,,,,,,,,,,,,,,,,
9992f142-b82f-58b4-9326-151975228b11,tg:lhbr:25038,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1969-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9992f142-b82f-58b4-9326-151975228b11,tg:lhbr:25038,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
9992f142-b82f-58b4-9326-151975228b11,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000024019,referentienummer,False,,,,,,,,,,,,
9992f142-b82f-58b4-9326-151975228b11,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:25038,brocade id,False,,,,,,,,,,,,
9992f142-b82f-58b4-9326-151975228b11,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:25038/N,brocade url,False,,,,,,,,,,,,
9992f142-b82f-58b4-9326-151975228b11,tg:lhbr:25038,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8adcbbbf-f9e3-56fe-b332-d7ff1ad34bc3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ac663218-abc2-4eb0-888e-508413d9df5d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
