ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
70b56049-981a-519e-a269-f4ad84e43708,tg:mpmbr:783,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:783,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/70b56049-981a-519e-a269-f4ad84e43708,object identifier,Brieven,,,,
70b56049-981a-519e-a269-f4ad84e43708,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fe400686-db1e-4005-85c5-de9a6eff1e54"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a8fc4fdb-54ab-4081-9071-2ab3b0fb1f47"", ""inverseOntologyProperty"": """"}]"
70b56049-981a-519e-a269-f4ad84e43708,tg:mpmbr:783,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728,1843,No Copyright - Public Domain Mark 1.0,
70b56049-981a-519e-a269-f4ad84e43708,tg:mpmbr:783,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17281231,,,,,,,,,,,,,,,,,,,,,,,,,,,
70b56049-981a-519e-a269-f4ad84e43708,tg:mpmbr:783,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70b56049-981a-519e-a269-f4ad84e43708,tg:mpmbr:783,e73_Languages,1,kenmerken.mpmlanguage,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,
70b56049-981a-519e-a269-f4ad84e43708,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000000769,referentienummer,False,,,,,,,,,,,,,
70b56049-981a-519e-a269-f4ad84e43708,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:783,brocade id,False,,,,,,,,,,,,,
70b56049-981a-519e-a269-f4ad84e43708,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:783/N,brocade url,False,,,,,,,,,,,,,
70b56049-981a-519e-a269-f4ad84e43708,tg:mpmbr:783,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4f16dc9e-704a-59e8-9116-752f9ad29212"", ""ontologyProperty"": """", ""resourceXresourceId"": ""34484f9c-3ba2-46a5-a3f3-a9873a321d95"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,
