ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
8bae09fe-39f1-5a95-8d60-282ad95a95ea,tg:mpmbr:221,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:221,https://data.museumplantinmoretus.be/ark:/11975/8bae09fe-39f1-5a95-8d60-282ad95a95ea,Brieven,,,,
8bae09fe-39f1-5a95-8d60-282ad95a95ea,tg:mpmbr:221,Places,1,id/place.place,,,,,,,,,,au::101189,,,,,,,,,,,,,,"dlod={""name"":""Oostende (Oostende)"",""ark"":""ark:/83110/x0/06947c9d-bb2e-5b3e-9368-6e60f61738da"",""uri"":""/subjects/10827223"",""id"":""au::101189"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8bae09fe-39f1-5a95-8d60-282ad95a95ea,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""199bc8d5-9366-49b2-ab9b-e6b30830cefb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6b781052-50cc-43f0-9a88-997deb58ae7e"", ""inverseOntologyProperty"": """"}]"
8bae09fe-39f1-5a95-8d60-282ad95a95ea,tg:mpmbr:221,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783,1898,No Copyright - Public Domain Mark 1.0,
8bae09fe-39f1-5a95-8d60-282ad95a95ea,tg:mpmbr:221,e73_CreationActors,,,au::109926,,,,mpm,20b1fb07-f535-5121-afa4-d60231c29934,bs,,au::109926:1,au::109926g:1,,,,,mpmbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11762082"",""au::109926"",""au::109926:1"",""ark:/83110/x0/20b1fb07-f535-5121-afa4-d60231c29934"",""J. De Gruijtters""],""name"":""J. De Gruijtters"",""ark"":""ark:/83110/x0/20b1fb07-f535-5121-afa4-d60231c29934"",""uri"":""/agents/people/11762082"",""id"":""au::109926:1"",""isCapacity"":false}",ark:/83110/x0/20b1fb07-f535-5121-afa4-d60231c29934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8bae09fe-39f1-5a95-8d60-282ad95a95ea,tg:mpmbr:221,e73_CreationActors,,,au::108386,,,,mpm,4d58dd67-8f6d-5583-b3f4-1cd05310c61d,co,,au::108386:1,au::108386g:1,,,,,mpmbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/11597302"",""au::108386"",""au::108386:1"",""ark:/83110/x0/4d58dd67-8f6d-5583-b3f4-1cd05310c61d"",""Frans Jozef Moretus""],""name"":""Frans Jozef Moretus"",""ark"":""ark:/83110/x0/4d58dd67-8f6d-5583-b3f4-1cd05310c61d"",""uri"":""/agents/people/11597302"",""id"":""au::108386:1"",""isCapacity"":false}",ark:/83110/x0/4d58dd67-8f6d-5583-b3f4-1cd05310c61d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8bae09fe-39f1-5a95-8d60-282ad95a95ea,tg:mpmbr:221,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17830903,,,,,,,,,,,,,,,,,,,,,,,,,
8bae09fe-39f1-5a95-8d60-282ad95a95ea,tg:mpmbr:221,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,1783-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8bae09fe-39f1-5a95-8d60-282ad95a95ea,tg:mpmbr:221,e73_Descriptions,1.0,note.mpmcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Bevat als bijlage het afschrift van de brief van Michel Boissel aan De Gruijtters &amp; Solvijns van 17 juli 1783 (MPM Arch. 1457 stuk 12)<br />
<a href=""http://anet.be/record/opacmpmobj/tg:mpmbr:218"">http://anet.be/record/opacmpmobj/tg:mpmbr:218</a></p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,
8bae09fe-39f1-5a95-8d60-282ad95a95ea,tg:mpmbr:221,e73_Languages,1,kenmerken.mpmlanguage,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,
