ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,tg:mpmbr:466,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:466,https://data.museumplantinmoretus.be/ark:/11975/71a67d1e-a6d1-569e-b46b-817d75ffdfd0,Brieven,,,,
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,tg:mpmbr:466,Places,1,id/place.place,,,,,,,,,,au::100105,,,,,,,,,,,,,,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/10711235"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6eb6e347-5684-4b6e-aeb1-8957303add37"", ""ontologyProperty"": """", ""resourceXresourceId"": ""732d7378-7d95-4e6d-8cad-d16380a73e89"", ""inverseOntologyProperty"": """"}]"
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,tg:mpmbr:466,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641,1756,No Copyright - Public Domain Mark 1.0,
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,tg:mpmbr:466,e73_CreationActors,,,au::112049,,,,mpm,4407f159-99ea-5f0c-bf94-0ae546e36b02,bs,,au::112049:1,au::112049g:1,,,,,mpmbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11989243"",""au::112049"",""au::112049:1"",""ark:/83110/x0/4407f159-99ea-5f0c-bf94-0ae546e36b02"",""Florentius van Mechelen""],""name"":""Florentius van Mechelen"",""ark"":""ark:/83110/x0/4407f159-99ea-5f0c-bf94-0ae546e36b02"",""uri"":""/agents/people/11989243"",""id"":""au::112049:1"",""isCapacity"":false}",ark:/83110/x0/4407f159-99ea-5f0c-bf94-0ae546e36b02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,tg:mpmbr:466,e73_CreationActors,,,au::106909,,,,mpm,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,co,,au::106909:1,au::106909g:1,,,,,mpmbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/11439263"",""au::106909"",""au::106909:1"",""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""Balthasar II Moretus""],""name"":""Balthasar II Moretus"",""ark"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""uri"":""/agents/people/11439263"",""id"":""au::106909:1"",""isCapacity"":false}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,tg:mpmbr:466,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16410919,,,,,,,,,,,,,,,,,,,,,,,,,
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,tg:mpmbr:466,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,1641-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,tg:mpmbr:466,e73_Languages,1,kenmerken.mpmlanguage,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000000455,referentienummer,False,,,,,,,,,,,
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:466,brocade id,False,,,,,,,,,,,
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:466/N,brocade url,False,,,,,,,,,,,
71a67d1e-a6d1-569e-b46b-817d75ffdfd0,tg:mpmbr:466,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7421387a-a218-5f1a-b814-5b6519ad0ee3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f20772b6-45ed-434b-8b3a-2a844a2b3606"", ""inverseOntologyProperty"": """"}]",,,,,,,,
