ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
67d650ea-c3d0-561e-b097-5eba0094f490,tg:mpmbr:876,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:876,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/67d650ea-c3d0-561e-b097-5eba0094f490,object identifier,Brieven,,,,
67d650ea-c3d0-561e-b097-5eba0094f490,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""494bbca4-54e8-41c3-8680-122da9a15866"", ""ontologyProperty"": """", ""resourceXresourceId"": ""562e1caa-8298-4127-80d4-5f134e27becf"", ""inverseOntologyProperty"": """"}]"
67d650ea-c3d0-561e-b097-5eba0094f490,tg:mpmbr:876,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1715,No Copyright - Public Domain Mark 1.0,
67d650ea-c3d0-561e-b097-5eba0094f490,tg:mpmbr:876,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d650ea-c3d0-561e-b097-5eba0094f490,tg:mpmbr:876,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,16uu,centuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d650ea-c3d0-561e-b097-5eba0094f490,tg:mpmbr:876,e73_Languages,1,kenmerken.mpmlanguage,lat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin (language),,,,,,,,,,,,,,,,
67d650ea-c3d0-561e-b097-5eba0094f490,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/br/000000862,referentienummer,False,,,,,,,,,,,,,
67d650ea-c3d0-561e-b097-5eba0094f490,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmbr:876,brocade id,False,,,,,,,,,,,,,
67d650ea-c3d0-561e-b097-5eba0094f490,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmbr:876/N,brocade url,False,,,,,,,,,,,,,
67d650ea-c3d0-561e-b097-5eba0094f490,tg:mpmbr:876,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""713afce5-9fe9-52b2-8b78-2f455bc38ed6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""460562c1-6af5-4225-afbd-dd00ef5aa364"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,
67d650ea-c3d0-561e-b097-5eba0094f490,tg:mpmbr:876,e73_Titles,,,au::106908,,,,mpm,mpmbr,Brief,9f62622e-af8f-5120-8bb2-771de1268484,bs,,au::106908:1,au::106908g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11439156"",""au::106908"",""au::106908:1"",""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""Balthasar I Moretus"",""ark:/83110/x0/4e6de5ef-6c8d-5a27-b44a-6604f7da8ad9""],""name"":""Balthasar I Moretus"",""ark"":""ark:/83110/x0/4e6de5ef-6c8d-5a27-b44a-6604f7da8ad9"",""uri"":""/agents/people/11439156"",""id"":""au::106908:1"",""resourceArk"":""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
