ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,source_field,source_date,Restriction Type,Image URL,Image Manifest,Image Manifest Type,Image URL Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,,AA,0,,,,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:112_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,Doos A.XII,,financial records,record identifiers,MMB.A.1616,,,
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,tg:mmbdc:112_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,tg:mmbdc:112_#1,e22_Archives,1,,,MMB.A.I.B.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,,e22_Dimensions,,,,,,138 x 214 mm,138,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,,e22_Dimensions,,,,,,138 x 214 mm,214,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,tg:mmbdc:112_#1,e22_Images,1,,,,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/o2cRTHvDAINLBMhBSDDTnuDT,https://dams.antwerpen.be/iiif/o2cRTHvDAINLBMhBSDDTnuDT/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,tg:mmbdc:112_#1,e22_ProductionActors,1,,,,,,,,,,"Joris, Jules",authors,"Joris, Jules (Auteur)",,,,,,,,,,,,,,,,,,,,,,
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,tg:mmbdc:112_#1,e22_ProductionActors,2,,,,,,,,,au::27863:1,"Cols, Alphonse",subjects (content of works),,"dlod={""suggest"":[""/agents/people/2981341"",""au::27863"",""au::27863:1"",""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""Alphonse Cols""],""name"":""Alphonse Cols"",""ark"":""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""uri"":""/agents/people/2981341"",""id"":""au::27863:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,tg:mmbdc:112_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,1911-03-31,,,,,,,,,,,,,,,,,,,,
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,tg:mmbdc:112_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,begindatum,1911,permission required,,,,,,,,,,,,,,,,
