ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,source_field,source_date,Restriction Type,Image URL,Image Manifest,Image Manifest Type,Image URL Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
6dbbc865-b9ab-5c4c-9434-6758f0a4d740,,AA,0,,,,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:86_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/6dbbc865-b9ab-5c4c-9434-6758f0a4d740,Doos A.XI,,financial records,record identifiers,MMB.A.1480,remarks,Nederlands,3 stuks
6dbbc865-b9ab-5c4c-9434-6758f0a4d740,tg:mmbdc:86_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6dbbc865-b9ab-5c4c-9434-6758f0a4d740,tg:mmbdc:86_#1,e22_Archives,1,,,MMB.A.I.D.2.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6dbbc865-b9ab-5c4c-9434-6758f0a4d740,,e22_Dimensions,,,,,,146 x 211 mm,146,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
6dbbc865-b9ab-5c4c-9434-6758f0a4d740,,e22_Dimensions,,,,,,146 x 211 mm,211,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
6dbbc865-b9ab-5c4c-9434-6758f0a4d740,tg:mmbdc:86_#1,e22_Images,1,,,,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/B29kbXVjrZNcnVlQ6LStJF7F,https://dams.antwerpen.be/iiif/B29kbXVjrZNcnVlQ6LStJF7F/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,
6dbbc865-b9ab-5c4c-9434-6758f0a4d740,tg:mmbdc:86_#1,e22_ProductionActors,1,,,,,,,,,au::115285:1,"Hertoghe, Eugène",authors,,"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
6dbbc865-b9ab-5c4c-9434-6758f0a4d740,tg:mmbdc:86_#1,e22_ProductionActors,2,,,,,,,,,au::27863:1,"Cols, Alphonse",subjects (content of works),,"dlod={""suggest"":[""/agents/people/2981341"",""au::27863"",""au::27863:1"",""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""Alphonse Cols""],""name"":""Alphonse Cols"",""ark"":""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""uri"":""/agents/people/2981341"",""id"":""au::27863:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
6dbbc865-b9ab-5c4c-9434-6758f0a4d740,tg:mmbdc:86_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,1925-11-18,1927-11-20,,,,,,,,,,,,,,,,,,,
6dbbc865-b9ab-5c4c-9434-6758f0a4d740,tg:mmbdc:86_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,begindatum,1925,permission required,,,,,,,,,,,,,,,,
