ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,source_field,source_date,Restriction Type,Image URL,Image Manifest,Image Manifest Type,Image URL Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
85ae7137-f532-57c0-b555-7735245bd5bf,,AA,0,,,,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:113_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/85ae7137-f532-57c0-b555-7735245bd5bf,Doos A.XII,,postcards,record identifiers,MMB.A.1617,,,
85ae7137-f532-57c0-b555-7735245bd5bf,tg:mmbdc:113_#1,e22_Archives,1,,,MMB.A.I.B.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85ae7137-f532-57c0-b555-7735245bd5bf,,e22_Dimensions,,,,,,95 x 125 mm,95,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
85ae7137-f532-57c0-b555-7735245bd5bf,,e22_Dimensions,,,,,,95 x 125 mm,125,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
85ae7137-f532-57c0-b555-7735245bd5bf,tg:mmbdc:113_#1,e22_Images,1,,,,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/J2k7OERKDCZDUOY2Xzdz80EJ,https://dams.antwerpen.be/iiif/J2k7OERKDCZDUOY2Xzdz80EJ/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,
85ae7137-f532-57c0-b555-7735245bd5bf,tg:mmbdc:113_#1,e22_ProductionActors,1,,,,,,,,,au::115307:1,Société belge de l’Archange Raphaël,subjects (content of works),,"dlod={""suggest"":[""/agents/corporate_entities/12219837"",""au::115307"",""au::115307:1"",""ark:/83110/x0/074157f5-88dd-5b32-8513-e116bcd4ffbe"",""Société belge de l’Archange Raphaël""],""name"":""Société belge de l’Archange Raphaël"",""ark"":""ark:/83110/x0/074157f5-88dd-5b32-8513-e116bcd4ffbe"",""uri"":""/agents/corporate_entities/12219837"",""id"":""au::115307:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
85ae7137-f532-57c0-b555-7735245bd5bf,tg:mmbdc:113_#1,e22_ProductionActors,2,,,,,,,,,au::52634:1,"Faille, Gaston della",subjects (content of works),,"dlod={""suggest"":[""/agents/people/5631838"",""au::52634"",""au::52634:1"",""ark:/83110/x0/e2664161-b8d4-55d5-ad2a-b2cb2f59ab81"",""Gaston della Faille de Leverghem""],""name"":""Gaston della Faille de Leverghem"",""ark"":""ark:/83110/x0/e2664161-b8d4-55d5-ad2a-b2cb2f59ab81"",""uri"":""/agents/people/5631838"",""id"":""au::52634:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
85ae7137-f532-57c0-b555-7735245bd5bf,tg:mmbdc:113_#1,e22_ProductionActors,3,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",subjects (content of works),,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
85ae7137-f532-57c0-b555-7735245bd5bf,tg:mmbdc:113_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,uuuu-04-27,,,,,,,,,,,,,,,,,,,,
85ae7137-f532-57c0-b555-7735245bd5bf,tg:mmbdc:113_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,begindatum,uuuu,permission required,,,,,,,,,,,,,,,,
