ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,source_field,source_date,Restriction Type,Image URL,Image Manifest,Image Manifest Type,Image URL Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
f33ccad8-05e0-52a9-8eaf-e1040b59ce33,,AA,0,,,,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:105_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/f33ccad8-05e0-52a9-8eaf-e1040b59ce33,Doos A.XI,,financial records,record identifiers,MMB.A.1550,,,
f33ccad8-05e0-52a9-8eaf-e1040b59ce33,tg:mmbdc:105_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f33ccad8-05e0-52a9-8eaf-e1040b59ce33,tg:mmbdc:105_#1,e22_Archives,1,,,MMB.A.I.D.2.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f33ccad8-05e0-52a9-8eaf-e1040b59ce33,,e22_Dimensions,,,,,,137 x 214 mm,137,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
f33ccad8-05e0-52a9-8eaf-e1040b59ce33,,e22_Dimensions,,,,,,137 x 214 mm,214,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
f33ccad8-05e0-52a9-8eaf-e1040b59ce33,tg:mmbdc:105_#1,e22_Images,1,,,,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/YUv4BTVQzdNTSQd9UMraSAIt,https://dams.antwerpen.be/iiif/YUv4BTVQzdNTSQd9UMraSAIt/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,
f33ccad8-05e0-52a9-8eaf-e1040b59ce33,tg:mmbdc:105_#1,e22_ProductionActors,1,,,,,,,,,au::14643:1,"Perre, Alfons van de",authors,,"dlod={""suggest"":[""/agents/people/1566801"",""au::14643"",""au::14643:1"",""ark:/83110/x0/3667cc9b-4a63-54a8-b308-ec4c19bbdd0c"",""Alfons van de Perre""],""name"":""Alfons van de Perre"",""ark"":""ark:/83110/x0/3667cc9b-4a63-54a8-b308-ec4c19bbdd0c"",""uri"":""/agents/people/1566801"",""id"":""au::14643:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
f33ccad8-05e0-52a9-8eaf-e1040b59ce33,tg:mmbdc:105_#1,e22_ProductionActors,2,,,,,,,,,,De Mahieu,subjects (content of works),De Mahieu (onderwerp),,,,,,,,,,,,,,,,,,,,,,
f33ccad8-05e0-52a9-8eaf-e1040b59ce33,tg:mmbdc:105_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,1905-01-01,,,,,,,,,,,,,,,,,,,,
f33ccad8-05e0-52a9-8eaf-e1040b59ce33,tg:mmbdc:105_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,begindatum,1905,permission required,,,,,,,,,,,,,,,,
