ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,source_field,source_date,Restriction Type,Image URL,Image Manifest,Image Manifest Type,Image URL Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,,AA,0,,,,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:54_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,Doos A.X,,financial records,record identifiers,MMB.A.1321,,,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,tg:mmbdc:54_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,tg:mmbdc:54_#1,e22_Archives,1,,,MMB.A.I.D.1.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,,e22_Dimensions,,,,,,116 x 241 mm,116,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,,e22_Dimensions,,,,,,116 x 241 mm,241,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,tg:mmbdc:54_#1,e22_Images,1,,,,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/d2auRU3wbPTKflqNIGIduT5u,https://dams.antwerpen.be/iiif/d2auRU3wbPTKflqNIGIduT5u/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,tg:mmbdc:54_#1,e22_ProductionActors,1,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",subjects (content of works),,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,tg:mmbdc:54_#1,e22_ProductionActors,2,,,,,,,,,au::27863:1,"Cols, Alphonse",subjects (content of works),,"dlod={""suggest"":[""/agents/people/2981341"",""au::27863"",""au::27863:1"",""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""Alphonse Cols""],""name"":""Alphonse Cols"",""ark"":""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""uri"":""/agents/people/2981341"",""id"":""au::27863:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,tg:mmbdc:54_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,1921-01-19,,,,,,,,,,,,,,,,,,,,
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,tg:mmbdc:54_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,begindatum,1921,permission required,,,,,,,,,,,,,,,,
