ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,source_field,source_date,Restriction Type,Image URL,Image Manifest,Image Manifest Type,Image URL Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
c368cca2-6db5-579f-8f53-6924337edd97,,AA,0,,,,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:85_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/c368cca2-6db5-579f-8f53-6924337edd97,Doos A.XI,,financial records,record identifiers,MMB.A.1479,remarks,Nederlands,5 stuks
c368cca2-6db5-579f-8f53-6924337edd97,tg:mmbdc:85_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c368cca2-6db5-579f-8f53-6924337edd97,tg:mmbdc:85_#1,e22_Archives,1,,,MMB.A.I.D.2.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c368cca2-6db5-579f-8f53-6924337edd97,,e22_Dimensions,,,,,,124 x 180 mm,124,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
c368cca2-6db5-579f-8f53-6924337edd97,,e22_Dimensions,,,,,,124 x 180 mm,180,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
c368cca2-6db5-579f-8f53-6924337edd97,tg:mmbdc:85_#1,e22_Images,1,,,,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/B9bDYogEOnXBcakeG8KXwdjm,https://dams.antwerpen.be/iiif/B9bDYogEOnXBcakeG8KXwdjm/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,
c368cca2-6db5-579f-8f53-6924337edd97,tg:mmbdc:85_#1,e22_ProductionActors,1,,,,,,,,,,"Liebrechts, Eugène",authors,"Liebrechts, Eugène (Auteur)",,,,,,,,,,,,,,,,,,,,,,
c368cca2-6db5-579f-8f53-6924337edd97,tg:mmbdc:85_#1,e22_ProductionActors,2,,,,,,,,,au::27863:1,"Cols, Alphonse",subjects (content of works),,"dlod={""suggest"":[""/agents/people/2981341"",""au::27863"",""au::27863:1"",""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""Alphonse Cols""],""name"":""Alphonse Cols"",""ark"":""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""uri"":""/agents/people/2981341"",""id"":""au::27863:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
c368cca2-6db5-579f-8f53-6924337edd97,tg:mmbdc:85_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,1921-02-18,1922-12-22,,,,,,,,,,,,,,,,,,,
c368cca2-6db5-579f-8f53-6924337edd97,tg:mmbdc:85_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,begindatum,1921,permission required,,,,,,,,,,,,,,,,
