ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,source_field,source_date,Restriction Type,Image URL,Image Manifest,Image Manifest Type,Image URL Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,,AA,0,,,,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:61_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,Doos A.X,,files (document groupings),record identifiers,MMB.A.1369,,,
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,tg:mmbdc:61_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,tg:mmbdc:61_#1,e22_Archives,1,,,MMB.A.I.D.2.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,,e22_Dimensions,,,,,,345 x 430 mm,345,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,,e22_Dimensions,,,,,,345 x 430 mm,430,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,tg:mmbdc:61_#1,e22_Images,1,,,,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/ahaPoCfpPpbXaYjPOI2nbwVu,https://dams.antwerpen.be/iiif/ahaPoCfpPpbXaYjPOI2nbwVu/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,tg:mmbdc:61_#1,e22_ProductionActors,1,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,tg:mmbdc:61_#1,e22_ProductionActors,2,,,,,,,,,,"Brouwers, A.",signers,"Brouwers, A. (Gesigneerd door)",,,,,,,,,,,,,,,,,,,,,,
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,tg:mmbdc:61_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,1903-07-01,,,,,,,,,,,,,,,,,,,,
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,tg:mmbdc:61_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,begindatum,1903,permission required,,,,,,,,,,,,,,,,
