ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,source_field,source_date,Restriction Type,Image URL,Image Manifest,Image Manifest Type,Image URL Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
50ceec1d-936b-5223-a228-891c37295e52,,AA,0,,,,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:80_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/50ceec1d-936b-5223-a228-891c37295e52,Doos A.XI,,financial records,record identifiers,MMB.A.1473,,,
50ceec1d-936b-5223-a228-891c37295e52,tg:mmbdc:80_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50ceec1d-936b-5223-a228-891c37295e52,tg:mmbdc:80_#1,e22_Archives,1,,,MMB.A.I.D.2.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50ceec1d-936b-5223-a228-891c37295e52,,e22_Dimensions,,,,,,333 x 211 mm,333,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
50ceec1d-936b-5223-a228-891c37295e52,,e22_Dimensions,,,,,,333 x 211 mm,211,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
50ceec1d-936b-5223-a228-891c37295e52,tg:mmbdc:80_#1,e22_Images,1,,,,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/wVpjlYPE7PaW4MUIIhRU42jy,https://dams.antwerpen.be/iiif/wVpjlYPE7PaW4MUIIhRU42jy/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,
50ceec1d-936b-5223-a228-891c37295e52,tg:mmbdc:80_#1,e22_ProductionActors,1,,,,,,,,,,"Liebrechts, Eugène",authors,"Liebrechts, Eugène (Auteur)",,,,,,,,,,,,,,,,,,,,,,
50ceec1d-936b-5223-a228-891c37295e52,tg:mmbdc:80_#1,e22_ProductionActors,2,,,,,,,,,au::27863:1,"Cols, Alphonse",authors,,"dlod={""suggest"":[""/agents/people/2981341"",""au::27863"",""au::27863:1"",""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""Alphonse Cols""],""name"":""Alphonse Cols"",""ark"":""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""uri"":""/agents/people/2981341"",""id"":""au::27863:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
50ceec1d-936b-5223-a228-891c37295e52,tg:mmbdc:80_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,1907-12-31,1921-07-28,,,,,,,,,,,,,,,,,,,
50ceec1d-936b-5223-a228-891c37295e52,tg:mmbdc:80_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,begindatum,1907,permission required,,,,,,,,,,,,,,,,
