ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,source_field,source_date,Restriction Type,Image URL,Image Manifest,Image Manifest Type,Image URL Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
c32e2e17-6445-5129-9fa2-faf944ca4c3f,,AA,0,,,,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:108_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/c32e2e17-6445-5129-9fa2-faf944ca4c3f,Doos A.XII,,financial records,record identifiers,MMB.A.1575,,,
c32e2e17-6445-5129-9fa2-faf944ca4c3f,tg:mmbdc:108_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c32e2e17-6445-5129-9fa2-faf944ca4c3f,tg:mmbdc:108_#1,e22_Archives,1,,,MMB.A.I.B.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c32e2e17-6445-5129-9fa2-faf944ca4c3f,,e22_Dimensions,,,,,,146 x 219 mm,146,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
c32e2e17-6445-5129-9fa2-faf944ca4c3f,,e22_Dimensions,,,,,,146 x 219 mm,219,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
c32e2e17-6445-5129-9fa2-faf944ca4c3f,tg:mmbdc:108_#1,e22_Images,1,,,,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/F1fYUIMfhQ3EaroF4ArofW6N,https://dams.antwerpen.be/iiif/F1fYUIMfhQ3EaroF4ArofW6N/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,
c32e2e17-6445-5129-9fa2-faf944ca4c3f,tg:mmbdc:108_#1,e22_ProductionActors,1,,,,,,,,,au::37342:1,"Destrée, Joseph",authors,,"dlod={""suggest"":[""/agents/people/3995594"",""au::37342"",""au::37342:1"",""ark:/83110/x0/1a81d736-62aa-532f-96a3-c9f54b84749e"",""Joseph Destrée""],""name"":""Joseph Destrée"",""ark"":""ark:/83110/x0/1a81d736-62aa-532f-96a3-c9f54b84749e"",""uri"":""/agents/people/3995594"",""id"":""au::37342:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
c32e2e17-6445-5129-9fa2-faf944ca4c3f,tg:mmbdc:108_#1,e22_ProductionActors,2,,,,,,,,,au::27863:1,"Cols, Alphonse",subjects (content of works),,"dlod={""suggest"":[""/agents/people/2981341"",""au::27863"",""au::27863:1"",""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""Alphonse Cols""],""name"":""Alphonse Cols"",""ark"":""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""uri"":""/agents/people/2981341"",""id"":""au::27863:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
c32e2e17-6445-5129-9fa2-faf944ca4c3f,tg:mmbdc:108_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,1911-03-27,,,,,,,,,,,,,,,,,,,,
c32e2e17-6445-5129-9fa2-faf944ca4c3f,tg:mmbdc:108_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,begindatum,1911,permission required,,,,,,,,,,,,,,,,
