ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,source_field,source_date,Restriction Type,Image URL,Image Manifest,Image Manifest Type,Image URL Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
2881a1ec-803b-569d-90c9-02e840292404,,AA,0,,,,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:99_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/2881a1ec-803b-569d-90c9-02e840292404,Doos A.XI,,files (document groupings),record identifiers,MMB.A.1521,,,
2881a1ec-803b-569d-90c9-02e840292404,tg:mmbdc:99_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2881a1ec-803b-569d-90c9-02e840292404,tg:mmbdc:99_#1,e22_Archives,1,,,MMB.A.I.D.2.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2881a1ec-803b-569d-90c9-02e840292404,,e22_Dimensions,,,,,,277 x 219 mm,277,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
2881a1ec-803b-569d-90c9-02e840292404,,e22_Dimensions,,,,,,277 x 219 mm,219,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
2881a1ec-803b-569d-90c9-02e840292404,tg:mmbdc:99_#1,e22_Images,1,,,,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/M1pBFcdQZTRLMngmaEKrnkad,https://dams.antwerpen.be/iiif/M1pBFcdQZTRLMngmaEKrnkad/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,
2881a1ec-803b-569d-90c9-02e840292404,tg:mmbdc:99_#1,e22_ProductionActors,1,,,,,,,,,au::115285:1,"Hertoghe, Eugène",authors,,"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
2881a1ec-803b-569d-90c9-02e840292404,tg:mmbdc:99_#1,e22_ProductionActors,2,,,,,,,,,au::115284:1,"Verelst, Willem",signers,,"dlod={""suggest"":[""/agents/people/12220104"",""au::115284"",""au::115284:1"",""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""Willem Verelst""],""name"":""Willem Verelst"",""ark"":""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""uri"":""/agents/people/12220104"",""id"":""au::115284:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,,,,
2881a1ec-803b-569d-90c9-02e840292404,tg:mmbdc:99_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,1916-12-09,1916-12-14,,,,,,,,,,,,,,,,,,,
2881a1ec-803b-569d-90c9-02e840292404,tg:mmbdc:99_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,begindatum,1916,permission required,,,,,,,,,,,,,,,,
