ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:9300_#3,record identifiers,https://data.letterenhuis.be/ark:/24970/b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,object identifier,,,,,,,,,,,
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,e22_AcquisitionNumbers,3,,,,99307/1,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,e22_Acquisitions,3,tr:lh:5009,"dlod={""name"":""Archiefstukken van Karel Albert"",""ark"":""ark:/24970/x0/9ea91283-51b3-5abf-a26d-8fd3cc920ca5"",""uri"":""/repositories/11/accessions/535966"",""id"":""tr:lh:5009"",""date"":""1974-12-19"",""granter"":""Karel Albert"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/9ea91283-51b3-5abf-a26d-8fd3cc920ca5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,e22_AnnotationsMaterial,3,,,,,,adm.note,Met blindstempel Stadsbibliotheek Antwerpen,Met blindstempel Stadsbibliotheek Antwerpen,Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,e22_Conditions,1,,,,,,note.lhconditie,"<p>22/02/2010: Verbruining/verzuring. Fragiel.</p>
",,,,,,,,,,,"<p>22/02/2010: Verbruining/verzuring. Fragiel.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,22 x 16,,,,,,,,,,,,,,,,,"22 x 16 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatrandic,"29,5 x 21,5",,,,,,,,,,,,,,,,,"29,5 x 21,5 - height, width, kenmerken/lhformatic.lhformatrandic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,220,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,160,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
