ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhaq:4067_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/940efd7d-ec1f-56c7-a919-4acb8a4b5c96,object identifier,,,,,,,,,,,
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,e22_AcquisitionNumbers,1,,,,203500/3,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,e22_Archives,1,,,,,,,,,,,isad:lh:95957,"dlod={""name"":""Aquarellen"",""ark"":""ark:/24970/x0/38f1c68d-bd2a-5a78-bab0-905f3f3a9113"",""uri"":""/repositories/11/archival_objects/10267402"",""id"":""isad:lh:95957"",""nameWithContext"":[""Verzamelingen"",""Kunstwerken""],""resourceName"":""Archief van J.-E. Buschmann"",""resourceArk"":""ark:/24970/x0/928ae852-7dd7-53a2-aa6d-845caef34c1a"",""resourceURI"":""/repositories/11/resources/165425"",""resourceID"":""isad:lh:1546"",""capacity"":""Aquarellen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/38f1c68d-bd2a-5a78-bab0-905f3f3a9113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,e22_Conditions,1,,,,,,note.lhconditie,"<p>matig</p>
",,,,,,,,,,,"<p>matig</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,9 x 14,,,,,,,,,,,,,,,,,"9 x 14 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,90,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,140,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhaq,,tg:lhaq:4067_#1,203500/3,isad:lh:95957,M 2475 / I,940efd7d-ec1f-56c7-a919-4acb8a4b5c96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhaq,,,,,,,,,,,,,,,kenmerken/lhtechbasisaq.lhtechaq,watercolor (paint),,,,,,,,,,,,,,,,,,,,,,,,,,
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
940efd7d-ec1f-56c7-a919-4acb8a4b5c96,tg:lhaq:4067_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f1VLqVcnRcVDoflbPTUa1FLj,lhaq,https://dams.antwerpen.be/iiif/f1VLqVcnRcVDoflbPTUa1FLj/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/f1VLqVcnRcVDoflbPTUa1FLj,DAMS Image,lh,Iconografie
