ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:9314_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/d846222f-7fc5-51b3-b057-9c140d581123,object identifier,,,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_AcquisitionNumbers,1,,,,221123,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_AnnotationsMaterial,1,,,,,,adm.note,"Bijvoegsel van ""De Amsterdammer"", weekblad voor Nederland 18/08/1912.

Gedrukt door: Amst. Boek- en Steendrukkerij, v/h. Ellerman, Harms & co.","Bijvoegsel van ""De Amsterdammer"", weekblad voor Nederland 18/08/1912.

Gedrukt door: Amst. Boek- en Steendrukkerij, v/h. Ellerman, Harms & co.",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,39 x 24,,,,,,,,,,,,,,,,,"39 x 24 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatrandic,"45,5 x 28",,,,,,,,,,,,,,,,,"45,5 x 28 - height, width, kenmerken/lhformatic.lhformatrandic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,390,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,240,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,455,hoogte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,280,breedte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhpr,,tg:lhpr:9314_#1,221123,,Planex GP / C 34,d846222f-7fc5-51b3-b057-9c140d581123,,,,remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_ProductionActors,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c577fb07-cb32-59a8-8de0-5f8775dbaf64,au::408,ui,publishers,,,,,,,,,,,,,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912.0,permission required,,,,,,,,
d846222f-7fc5-51b3-b057-9c140d581123,tg:lhpr:9314_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z2ekoXVDWCoPTVTWCcTc9bUa,lhpr,https://dams.antwerpen.be/iiif/Z2ekoXVDWCoPTVTWCcTc9bUa/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/Z2ekoXVDWCoPTVTWCcTc9bUa,DAMS Image,lh,Iconografie
