ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:6926_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/cd6a7a31-1a79-511e-ab04-9e62bf389a6c,object identifier,,,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_AcquisitionNumbers,1,,,,87703/2b,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatkaderic,70 x 51,,,,,,,,,,,,,,,,,"70 x 51 - height, width, depth, kenmerken/lhformatic.lhformatkaderic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,65 x 46,,,,,,,,,,,,,,,,,"65 x 46 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatkaderic,,,,,,,,,,,,,,,460,hoogte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatkaderic,,,,,,,,,,,,,,,420,breedte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,650,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,460,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,tg:lhtk:6926_#1,87703/2b,,SC 16 E 1,cd6a7a31-1a79-511e-ab04-9e62bf389a6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Recto:</strong></p>
<p>Links onder in de tekening met potlood: <em>KarelMaes</em></p>
<p><strong>Verso:</strong></p>
<p>Rechts midden met inkt: <em>1919</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,pastels (crayons),,,,,,,,,,,,,,,,,,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.0,permission required,,,,,,,,
cd6a7a31-1a79-511e-ab04-9e62bf389a6c,tg:lhtk:6926_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r28TTcGYUHCOLWHsDr5t1uRE,lhtk,https://dams.antwerpen.be/iiif/r28TTcGYUHCOLWHsDr5t1uRE/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/r28TTcGYUHCOLWHsDr5t1uRE,DAMS Image,lh,Iconografie
