ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:3150_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/4c582db4-3cba-5627-95e0-e2d449c95c4d,object identifier,,,,,,,,,,,
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,e22_AcquisitionNumbers,1,,,,51283/1,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,e22_Acquisitions,1,tr:lh:2538,"dlod={""name"":""Schenking van Stadsbibliotheek"",""ark"":""ark:/24970/x0/f1cd4553-bf57-529f-8227-5706a111831e"",""uri"":""/repositories/11/accessions/271569"",""id"":""tr:lh:2538"",""date"":""1954-04-02"",""granter"":""Stadsbibliotheek [Antwerpen]"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/f1cd4553-bf57-529f-8227-5706a111831e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,28.5 x 22,,,,,,,,,,,,,,,,,"28.5 x 22 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,285,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,220,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:2538,tg:lhtk:3150_#1,51283/1,,,4c582db4-3cba-5627-95e0-e2d449c95c4d,K1 C 54 D2,ICO-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Van links naar rechts onder: <em>Oud huis / Jan Kelman / = B.Bolle</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,pencils (drawing and writing equipment),,,,,,,,,,,,,,,,,,,,,,,,,,
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
4c582db4-3cba-5627-95e0-e2d449c95c4d,tg:lhtk:3150_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K2WUTeYaXVdCUSANRHZaF89A,lhtk,https://dams.antwerpen.be/iiif/K2WUTeYaXVdCUSANRHZaF89A/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/K2WUTeYaXVdCUSANRHZaF89A,DAMS Image,lh,Iconografie
