ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:4466_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/142528fb-b29a-5d99-b949-47a94336a2da,object identifier,,,,,,,,,,,
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,e22_AcquisitionNumbers,1,,,,200718/10,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,e22_Conditions,2,,,,,,note.lhconditie,"<p>30/11/2004: Goed. Vergeeld.</p>
",,,,,,,,,,,"<p>30/11/2004: Goed. Vergeeld.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"17,5 x 12,7",,,,,,,,,,,,,,,,,"17,5 x 12,7 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,175,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,127,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,tg:lhtk:4466_#1,200718/10,,B 7307 / I,142528fb-b29a-5d99-b949-47a94336a2da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Links onder: _Gevangeniskoer</p>
<p>_Rechtsonder: _Lowie 41</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,pencils (drawing and writing equipment),,,,,,,,,,,,,,,,,,,,,,,,,,
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941.0,permission required,,,,,,,,
142528fb-b29a-5d99-b949-47a94336a2da,tg:lhtk:4466_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o2MfdU6ZdDfLQZHDLGZ9YZZc,lhtk,https://dams.antwerpen.be/iiif/o2MfdU6ZdDfLQZHDLGZ9YZZc/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/o2MfdU6ZdDfLQZHDLGZ9YZZc,DAMS Image,lh,Iconografie
