ResourceID,brocade.id,card,order,source_field,source_code,Document status
1b98f93a-f9ad-56b5-a3e3-9665fd549efd,tg:rubgr:1120_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
7441dfa6-8709-5f3a-a8f9-c681757ffd00,tg:rubgr:1886_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
b77fad2f-4a42-580f-96f1-9895dc094234,tg:rubgr:807_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
f91fc495-68cc-50af-a9ce-2828cf49eb63,tg:rubgr:1903_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
8dc1ff6a-7f4e-54c9-ab98-75aa950cb78e,tg:rubgr:1902_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
db9e83ab-d569-53b5-a95f-7d4ed34db49b,tg:rubgr:2636_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
6b6ec333-446a-5728-9cbc-64e463ed20a0,tg:rubgr:4373_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
ffb45bd9-9f4c-56fe-b351-caf26ba80b1b,tg:rubgr:2582_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
1e0137a7-53cb-5c9e-97a0-00655b8955c9,tg:rubgr:3512_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
bc8cd056-6f9d-530c-87ca-bb08d2f9d78f,tg:rubgr:14_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
995b604f-daa3-51bb-83b1-3af82f1f064d,tg:rubgr:1312_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
6765ebfe-c483-571e-a59b-c572f2842ff3,tg:rubgr:3683_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
6bc8d926-bbbf-5604-a79c-1b9fc7059451,tg:rubgr:2976_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
c13a5252-1ecb-570b-a6ee-1c36f5b3e1b1,tg:rubgr:1303_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
7814b25e-e840-5605-bd8d-01fa27b1849a,tg:rubgr:1606_#1,e22_DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
