ResourceID,brocade.id,card,order,source_field,kenmerken.rubobjnrgr,isaad,Associated Archive
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_036,isad:rub:2966,
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_AssociatedArchives,3,kenmerken.rubobjnrgr,AFG_037,isad:rub:2967,
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_AssociatedArchives,4,kenmerken.rubobjnrgr,AFG_047,isad:rub:2977,
57cd7876-8884-5909-9bd0-cbafcf8601cf,tg:rubgr:4460,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_022,isad:rub:2952,
d0912f2c-e2d3-5fa1-ab45-7c6fe40b0e16,tg:rubgr:4257,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_024,isad:rub:2954,
ccd7043d-9879-5247-86e7-253739f81e1e,tg:rubgr:4131,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_007,isad:rub:2937,
05afc99a-cd9a-57ac-afeb-72ca8837af30,tg:rubgr:4774,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_004,isad:rub:2934,
05afc99a-cd9a-57ac-afeb-72ca8837af30,tg:rubgr:4774,e73_AssociatedArchives,3,kenmerken.rubobjnrgr,AFG_011,isad:rub:2941,
05afc99a-cd9a-57ac-afeb-72ca8837af30,tg:rubgr:4774,e73_AssociatedArchives,4,kenmerken.rubobjnrgr,AFG_125,isad:rub:3047,
c60c5ffd-068a-5b91-ade5-0dbcf58e1b40,tg:rubgr:2350,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_010,isad:rub:2940,
8303423a-e083-5ba9-a64b-cc2c221a6ee2,tg:rubgr:4780,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_021,isad:rub:2951,
8303423a-e083-5ba9-a64b-cc2c221a6ee2,tg:rubgr:4780,e73_AssociatedArchives,3,kenmerken.rubobjnrgr,AFG_125,isad:rub:3047,
fac1809c-c8a8-552b-84ea-ecf3757b91b3,tg:rubgr:1495,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_024,isad:rub:2954,
88f9befb-e400-5209-a4ac-31e5912345da,tg:rubgr:4362,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_008,isad:rub:2938,
13e6a364-3dcc-5a86-9bc6-7cef4a796aa7,tg:rubgr:4372,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_006,isad:rub:2936,
d08ca021-5470-58f1-a507-ed269350d0a3,tg:rubgr:2103,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_014,isad:rub:2944,
30fe9a6d-1147-5706-8982-9e8caef262a5,tg:rubgr:4537,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_031,isad:rub:2961,
a63c5e57-6ae5-5622-adce-b054ca148462,tg:rubgr:5155,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_021,isad:rub:2951,
4a8a25a8-42b4-5acb-a4d6-43096a9cac64,tg:rubgr:4014,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_005,isad:rub:2935,
4a8a25a8-42b4-5acb-a4d6-43096a9cac64,tg:rubgr:4014,e73_AssociatedArchives,3,kenmerken.rubobjnrgr,AFG_017,isad:rub:2947,
4a8a25a8-42b4-5acb-a4d6-43096a9cac64,tg:rubgr:4014,e73_AssociatedArchives,4,kenmerken.rubobjnrgr,AFG_019,isad:rub:2949,
4a8a25a8-42b4-5acb-a4d6-43096a9cac64,tg:rubgr:4014,e73_AssociatedArchives,5,kenmerken.rubobjnrgr,AFG_026,isad:rub:2956,
4a8a25a8-42b4-5acb-a4d6-43096a9cac64,tg:rubgr:4014,e73_AssociatedArchives,6,kenmerken.rubobjnrgr,AFG_033,isad:rub:2963,
4a8a25a8-42b4-5acb-a4d6-43096a9cac64,tg:rubgr:4014,e73_AssociatedArchives,7,kenmerken.rubobjnrgr,AFG_037,isad:rub:2967,
3a2f60ee-87ea-5d4a-8bb0-4e37001a7740,tg:rubgr:4623,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_021,isad:rub:2951,
a764073d-66fb-5474-a4fb-369f368d0ee2,tg:rubgr:5137,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_021,isad:rub:2951,
5f2ea5d5-7f75-52a1-b379-ac5ffc06129d,tg:rubgr:4494,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_041,isad:rub:2971,
5f2ea5d5-7f75-52a1-b379-ac5ffc06129d,tg:rubgr:4494,e73_AssociatedArchives,3,kenmerken.rubobjnrgr,AFG_044,isad:rub:2974,
16bd8dfd-5d4f-5908-bec9-9e66e757137d,tg:rubgr:3910,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_042,isad:rub:2972,
8c5e08be-551d-54be-9986-a819982465de,tg:rubgr:3936,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_047,isad:rub:2977,
e18f9618-2c41-57d3-8b16-9ca90cb5addb,tg:rubgr:4326,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_046,isad:rub:2976,
c3e708b4-16e9-56a8-90e4-280d639caeab,tg:rubgr:4138,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_037,isad:rub:2967,
058a77fa-80ce-5a7a-bfbf-3d6048739e04,tg:rubgr:1676,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_006,isad:rub:2936,
058a77fa-80ce-5a7a-bfbf-3d6048739e04,tg:rubgr:1676,e73_AssociatedArchives,3,kenmerken.rubobjnrgr,AFG_021,isad:rub:2951,
