ResourceID,brocade.id,card,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit
11daa277-63db-5c88-a710-edbfcd31196f,tg:rubhs:31_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,125,hoogte,millimeter
11daa277-63db-5c88-a710-edbfcd31196f,tg:rubhs:31_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,85,breedte,millimeter
11daa277-63db-5c88-a710-edbfcd31196f,tg:rubhs:31_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,7,diepte,millimeter
96054547-ed09-553f-ad51-49fb23faff12,tg:rubhs:21_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,112,hoogte,millimeter
96054547-ed09-553f-ad51-49fb23faff12,tg:rubhs:21_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,75,breedte,millimeter
96054547-ed09-553f-ad51-49fb23faff12,tg:rubhs:21_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,10,diepte,millimeter
a0f4505a-38d4-5c11-8119-3cea14b3b45f,tg:rubhs:88_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,160,hoogte,millimeter
a0f4505a-38d4-5c11-8119-3cea14b3b45f,tg:rubhs:88_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,100,breedte,millimeter
a0f4505a-38d4-5c11-8119-3cea14b3b45f,tg:rubhs:88_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,15,diepte,millimeter
828b6921-fbb4-562e-9ddc-b10d7cc0e42f,tg:rubhs:108_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,165,hoogte,millimeter
828b6921-fbb4-562e-9ddc-b10d7cc0e42f,tg:rubhs:108_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,105,breedte,millimeter
828b6921-fbb4-562e-9ddc-b10d7cc0e42f,tg:rubhs:108_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,10,diepte,millimeter
fe007a6b-04ef-5482-90d1-b1829050dffe,tg:rubhs:118_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,70,hoogte,millimeter
fe007a6b-04ef-5482-90d1-b1829050dffe,tg:rubhs:118_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,110,breedte,millimeter
fe007a6b-04ef-5482-90d1-b1829050dffe,tg:rubhs:118_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,5,diepte,millimeter
e48b6c77-a010-56a1-9b8e-d5428290e54f,tg:rubhs:53_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,165,hoogte,millimeter
e48b6c77-a010-56a1-9b8e-d5428290e54f,tg:rubhs:53_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,105,breedte,millimeter
e48b6c77-a010-56a1-9b8e-d5428290e54f,tg:rubhs:53_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,3,diepte,millimeter
7c1308fe-7e53-5742-ab1c-6d448ad06b28,tg:rubhs:43_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,120,hoogte,millimeter
7c1308fe-7e53-5742-ab1c-6d448ad06b28,tg:rubhs:43_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,80,breedte,millimeter
7c1308fe-7e53-5742-ab1c-6d448ad06b28,tg:rubhs:43_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,15,diepte,millimeter
eb2b2eff-a1cc-5b94-91ee-d50b5ffe188b,tg:rubhs:155_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,160,hoogte,millimeter
eb2b2eff-a1cc-5b94-91ee-d50b5ffe188b,tg:rubhs:155_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,105,breedte,millimeter
eb2b2eff-a1cc-5b94-91ee-d50b5ffe188b,tg:rubhs:155_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,10,diepte,millimeter
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,170,hoogte,millimeter
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,105,breedte,millimeter
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,12,diepte,millimeter
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,160,hoogte,millimeter
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,100,breedte,millimeter
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,17,diepte,millimeter
43c986f8-d80c-5f44-a328-559e4cef7685,tg:rubhs:127_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,70,hoogte,millimeter
43c986f8-d80c-5f44-a328-559e4cef7685,tg:rubhs:127_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,110,breedte,millimeter
43c986f8-d80c-5f44-a328-559e4cef7685,tg:rubhs:127_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,5,diepte,millimeter
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,165,hoogte,millimeter
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,105,breedte,millimeter
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,10,diepte,millimeter
5e31abf8-699a-56c1-b981-07e42fb5f0b2,tg:rubhs:101_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,170,hoogte,millimeter
5e31abf8-699a-56c1-b981-07e42fb5f0b2,tg:rubhs:101_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,105,breedte,millimeter
5e31abf8-699a-56c1-b981-07e42fb5f0b2,tg:rubhs:101_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,10,diepte,millimeter
ac97416f-0ede-52e6-95aa-bd18f3fbe6d2,tg:rubhs:28_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,105,hoogte,millimeter
ac97416f-0ede-52e6-95aa-bd18f3fbe6d2,tg:rubhs:28_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,67,breedte,millimeter
ac97416f-0ede-52e6-95aa-bd18f3fbe6d2,tg:rubhs:28_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,13,diepte,millimeter
f54b46cc-554a-59a8-9e15-fa50f84521b2,tg:rubhs:38_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,125,hoogte,millimeter
f54b46cc-554a-59a8-9e15-fa50f84521b2,tg:rubhs:38_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,82,breedte,millimeter
f54b46cc-554a-59a8-9e15-fa50f84521b2,tg:rubhs:38_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,10,diepte,millimeter
9e6ee0da-05ee-5e45-a6bf-8e067ae99ed3,tg:rubhs:173_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,170,hoogte,millimeter
9e6ee0da-05ee-5e45-a6bf-8e067ae99ed3,tg:rubhs:173_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,110,breedte,millimeter
9e6ee0da-05ee-5e45-a6bf-8e067ae99ed3,tg:rubhs:173_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,15,diepte,millimeter
a4d9f9f7-197b-5e3d-a551-e8623aa645ed,tg:rubhs:163_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,125,hoogte,millimeter
a4d9f9f7-197b-5e3d-a551-e8623aa645ed,tg:rubhs:163_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,85,breedte,millimeter
a4d9f9f7-197b-5e3d-a551-e8623aa645ed,tg:rubhs:163_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,5,diepte,millimeter
700c5c2c-3825-5234-85a2-79af10c728e3,tg:rubhs:91_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,175,hoogte,millimeter
700c5c2c-3825-5234-85a2-79af10c728e3,tg:rubhs:91_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,110,breedte,millimeter
700c5c2c-3825-5234-85a2-79af10c728e3,tg:rubhs:91_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,12,diepte,millimeter
d8c011d2-a6a2-566b-8ef4-032942ed15a8,tg:rubhs:81_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,165,hoogte,millimeter
d8c011d2-a6a2-566b-8ef4-032942ed15a8,tg:rubhs:81_#1,e22_Dimensions,kenmerken/rubformaths.rubformathsafm,105,breedte,millimeter
