ResourceID,brocade.id,card,order,Keeper,Object Number,Object Identifier,Record Type
7ca8e3f3-f259-558f-8878-7ce213fca9f4,tg:rubgr:3750,AA,0,Rubenianum,tg:rubgr:3750,https://data.rubenianum.be//ark:/86530/7ca8e3f3-f259-558f-8878-7ce213fca9f4,Handschriften
868abc33-6608-503b-aa07-373c88b94f3e,tg:rubgr:598,AA,0,Rubenianum,tg:rubgr:598,https://data.rubenianum.be//ark:/86530/868abc33-6608-503b-aa07-373c88b94f3e,Handschriften
650efedc-b7c6-5db3-ab9e-5a7e20c2c554,tg:rubgr:3628,AA,0,Rubenianum,tg:rubgr:3628,https://data.rubenianum.be//ark:/86530/650efedc-b7c6-5db3-ab9e-5a7e20c2c554,Handschriften
a8c7dfb9-dd03-5731-b24c-df6e1b3ea630,tg:rubgr:2322,AA,0,Rubenianum,tg:rubgr:2322,https://data.rubenianum.be//ark:/86530/a8c7dfb9-dd03-5731-b24c-df6e1b3ea630,Handschriften
36191158-9446-5245-93e5-6d2e410bb158,tg:rubgr:3740,AA,0,Rubenianum,tg:rubgr:3740,https://data.rubenianum.be//ark:/86530/36191158-9446-5245-93e5-6d2e410bb158,Handschriften
04fbc0f6-7964-5fec-aa99-f37952fc1df4,tg:rubgr:1120,AA,0,Rubenianum,tg:rubgr:1120,https://data.rubenianum.be//ark:/86530/04fbc0f6-7964-5fec-aa99-f37952fc1df4,Handschriften
f3b8764c-3c37-53b2-aa2b-0dcec9d2eac8,tg:rubgr:3638,AA,0,Rubenianum,tg:rubgr:3638,https://data.rubenianum.be//ark:/86530/f3b8764c-3c37-53b2-aa2b-0dcec9d2eac8,Handschriften
ce559a66-7789-55d0-87d9-890816bd884c,tg:rubgr:2332,AA,0,Rubenianum,tg:rubgr:2332,https://data.rubenianum.be//ark:/86530/ce559a66-7789-55d0-87d9-890816bd884c,Handschriften
58101005-877b-5e68-8c33-bc3db928615d,tg:rubgr:588,AA,0,Rubenianum,tg:rubgr:588,https://data.rubenianum.be//ark:/86530/58101005-877b-5e68-8c33-bc3db928615d,Handschriften
40fa2971-dfc1-540c-b95c-6bd1a876aeb7,tg:rubgr:1058,AA,0,Rubenianum,tg:rubgr:1058,https://data.rubenianum.be//ark:/86530/40fa2971-dfc1-540c-b95c-6bd1a876aeb7,Handschriften
e11f0dc2-77c3-518c-ae46-fc8c0565d2b0,tg:rubgr:4143,AA,0,Rubenianum,tg:rubgr:4143,https://data.rubenianum.be//ark:/86530/e11f0dc2-77c3-518c-ae46-fc8c0565d2b0,Handschriften
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,AA,0,Rubenianum,tg:rubgr:1765,https://data.rubenianum.be//ark:/86530/ba2f60cd-dadd-50a7-8533-5309d60c6655,Handschriften
92850298-4a92-592c-80f0-2d51defba043,tg:rubgr:3115,AA,0,Rubenianum,tg:rubgr:3115,https://data.rubenianum.be//ark:/86530/92850298-4a92-592c-80f0-2d51defba043,Handschriften
