ResourceID,brocade.id,card,Documented Place Order,source_field,place_au_code,Documented Place Name Widget
da1c9379-7cb1-59a3-90a7-41c1bea975a7,tg:rubhs:88,Places,1,id/place.place,au::106158,"dlod={""name"":""Oxford (Oxford District)"",""ark"":""ark:/83110/x0/4d4299c2-6c5b-5b2b-a186-d51cbb671a46"",""uri"":""/subjects/11358906"",""id"":""au::106158"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
da1c9379-7cb1-59a3-90a7-41c1bea975a7,tg:rubhs:88,Places,2,id/place.place,au::105203,"dlod={""name"":""'s-Gravenhage (Zuid-Holland)"",""ark"":""ark:/83110/x0/f7a1eaca-157e-5e81-a2b3-2edf08020b5d"",""uri"":""/subjects/11256721"",""id"":""au::105203"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
da1c9379-7cb1-59a3-90a7-41c1bea975a7,tg:rubhs:88,Places,3,id/place.place,au::100105,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/10711235"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
da1c9379-7cb1-59a3-90a7-41c1bea975a7,tg:rubhs:88,Places,4,id/place.place,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
1c10d76a-7a30-5a5b-8337-268acd0ae9f1,tg:rubhs:108,Places,1,id/place.place,au::102018,"dlod={""name"":""München (München, Landeshauptstadt)"",""ark"":""ark:/83110/x0/8ec95506-7f81-5c3c-b061-9aa8478ebe4b"",""uri"":""/subjects/10915926"",""id"":""au::102018"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
1c10d76a-7a30-5a5b-8337-268acd0ae9f1,tg:rubhs:108,Places,2,id/place.place,au::106118,"dlod={""name"":""Londen (Greater London)"",""ark"":""ark:/83110/x0/bfce85cc-f5fb-53db-9176-4665e3323a3b"",""uri"":""/subjects/11354626"",""id"":""au::106118"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
1c10d76a-7a30-5a5b-8337-268acd0ae9f1,tg:rubhs:108,Places,3,id/place.place,au::105989,"dlod={""name"":""Cambridge (Waikato)"",""ark"":""ark:/83110/x0/c445a8f1-54a6-5659-82c0-354a23caeeba"",""uri"":""/subjects/11340823"",""id"":""au::105989"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
fffc2c31-2f2e-5bd7-ad05-e3595d32b8d8,tg:rubhs:145,Places,1,id/place.place,au::106118,"dlod={""name"":""Londen (Greater London)"",""ark"":""ark:/83110/x0/bfce85cc-f5fb-53db-9176-4665e3323a3b"",""uri"":""/subjects/11354626"",""id"":""au::106118"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
fffc2c31-2f2e-5bd7-ad05-e3595d32b8d8,tg:rubhs:145,Places,2,id/place.place,au::106786,"dlod={""name"":""Zurich (Zurich)"",""ark"":""ark:/83110/x0/a3e4fd87-58c4-5df3-b81f-004721b5efcc"",""uri"":""/subjects/11426102"",""id"":""au::106786"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
fffc2c31-2f2e-5bd7-ad05-e3595d32b8d8,tg:rubhs:145,Places,3,id/place.place,au::106727,"dlod={""name"":""Winterthur (Bezirk Winterthur)"",""ark"":""ark:/83110/x0/08f1b9aa-2503-5481-8b8f-dccfae2eda8b"",""uri"":""/subjects/11419789"",""id"":""au::106727"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
