card,order,dataset,adm.id_mat,adm.isadPartOf,Warehouse Location (begin),Source Note,adm.uuid_mat,ResourceID,brocade.id,Warehouse Location (end),Source Note Type,Source Note Language
e22_Items,1,rubdoc,tg:rubdoc:4143_#1,isad:rub:3144,Doos 9,"Corresponding LB-numbers: LB 678, LB 742 and LB 626.",8a9768f8-37e7-5162-9a41-8ed909706861,8a9768f8-37e7-5162-9a41-8ed909706861,tg:rubdoc:4143_#1,,remarks,Nederlands
e22_Items,1,rubdoc,tg:rubdoc:4153_#1,isad:rub:3144,Doos 16,,d1e5e64e-1ece-5b63-9dc5-9b460881b34c,d1e5e64e-1ece-5b63-9dc5-9b460881b34c,tg:rubdoc:4153_#1,,,
e22_Items,1,rubdoc,tg:rubdoc:4225_#1,isad:rub:3150,Doos 24,,4d5d6222-6005-5d05-be5a-cceedc928da0,4d5d6222-6005-5d05-be5a-cceedc928da0,tg:rubdoc:4225_#1,,,
e22_Items,1,rubdoc,tg:rubdoc:4235_#1,isad:rub:3292,Doos 17 t.e.m. 19,,8dd1da51-883d-54be-91bc-02270ade8922,8dd1da51-883d-54be-91bc-02270ade8922,tg:rubdoc:4235_#1,,,
e22_Items,1,rubdoc,tg:rubdoc:4082_#1,isad:rub:3148,Doos 22,,be35c651-4d98-5f1c-ac75-ff8f027ff455,be35c651-4d98-5f1c-ac75-ff8f027ff455,tg:rubdoc:4082_#1,,,
e22_Items,1,rubdoc,tg:rubdoc:4092_#1,isad:rub:3149,Doos 17,,bcc1acbb-c967-55b0-8b5f-0e0725c4f438,bcc1acbb-c967-55b0-8b5f-0e0725c4f438,tg:rubdoc:4092_#1,,,
e22_Items,1,rubdoc,tg:rubdoc:4198_#1,isad:rub:3140,CC_011,,2424c2d9-8883-5d18-92e2-0bb4655e1a48,2424c2d9-8883-5d18-92e2-0bb4655e1a48,tg:rubdoc:4198_#1,,,
e22_Items,1,rubdoc,tg:rubdoc:4188_#1,isad:rub:3140,LB 1873,,76727e97-c7b4-51d0-b992-27e17914cb34,76727e97-c7b4-51d0-b992-27e17914cb34,tg:rubdoc:4188_#1,,,
e22_Items,1,rubdoc,tg:rubdoc:4247_#1,isad:rub:3291,OLDTESTAMENT.26,,7094935b-6552-523d-80cd-8d00c0ed7491,7094935b-6552-523d-80cd-8d00c0ed7491,tg:rubdoc:4247_#1,,,
e22_Items,1,rubdoc,tg:rubdoc:4257_#1,isad:rub:3291,MADONNA.08,,11f746c9-bcac-5752-8fb6-23af50c6a2cf,11f746c9-bcac-5752-8fb6-23af50c6a2cf,tg:rubdoc:4257_#1,,,
e22_Items,1,rubdoc,tg:rubdoc:4121_#1,isad:rub:3144,Doos 2,,ac1b3266-0937-50b7-b5e8-e1a8241c4b7b,ac1b3266-0937-50b7-b5e8-e1a8241c4b7b,tg:rubdoc:4121_#1,,,
e22_Items,1,rubdoc,tg:rubdoc:4059_#1,isad:rub:3147,Doos 7,Corresponding LB-numbers: LB 306 and LB 313.,88b61cfc-6400-5379-82a0-c7b4588aca8d,88b61cfc-6400-5379-82a0-c7b4588aca8d,tg:rubdoc:4059_#1,,remarks,Nederlands
e22_Items,1,rubdoc,tg:rubdoc:4131_#1,isad:rub:3144,Doos 3,,61dcdd9b-bdf4-5ac3-8b46-f16f649e7e93,61dcdd9b-bdf4-5ac3-8b46-f16f649e7e93,tg:rubdoc:4131_#1,,,
e22_Items,1,rubdoc,tg:rubdoc:4049_#1,isad:rub:3147,Doos 7,"Corresponding LB-numbers: LB 157/3, LB 158/2, LB 159, LB 161, LB 173, LB 175 and LB 185/29a.",e08ff71f-cac1-5ea9-9ee9-a218cd4a6fc5,e08ff71f-cac1-5ea9-9ee9-a218cd4a6fc5,tg:rubdoc:4049_#1,,remarks,Nederlands
e22_Items,1,rubdoc,tg:rubdoc:3996_#1,isad:rub:3145,Doos 13,Corresponding LB-number: LB 1445/2.,ce432a02-327c-51f1-8289-06436cbc9e08,ce432a02-327c-51f1-8289-06436cbc9e08,tg:rubdoc:3996_#1,,remarks,Nederlands
e22_Items,1,rubdoc,tg:rubdoc:3962_#1,isad:rub:3143,Doos 25,,60d10fad-cf5d-5abb-9c54-878cf97374f6,60d10fad-cf5d-5abb-9c54-878cf97374f6,tg:rubdoc:3962_#1,,,
e22_Items,1,rubdoc,tg:rubdoc:3972_#1,isad:rub:3143,Doos 13,Corresponding LB-numbers: LB 1270-1280.,d0c0b49d-8776-55dc-a824-dd536584638d,d0c0b49d-8776-55dc-a824-dd536584638d,tg:rubdoc:3972_#1,,remarks,Nederlands
e22_Items,2,rubdoc,tg:rubdoc:3972_#2,isad:rub:3143,LB 1132 / PO_023,Loose documentation taken out from the original folder,9a920319-586f-57ca-8a74-caafc1bdf81b,d0c0b49d-8776-55dc-a824-dd536584638d,tg:rubdoc:3972_#1,,remarks,Nederlands
e22_Items,3,rubdoc,tg:rubdoc:3972_#3,isad:rub:3143,LB 1133 / PO_025,Loose documentation taken out from the original folder,e1a568ed-4028-5326-93dc-891c8c2a095c,d0c0b49d-8776-55dc-a824-dd536584638d,tg:rubdoc:3972_#1,,remarks,Nederlands
e22_Items,1,rubdoc,tg:rubdoc:4004_#1,isad:rub:3145,Doos 10,Corresponding LB-number: LB 735/5.,8c99ab5b-24a8-57a3-9b13-e4766dd2d897,8c99ab5b-24a8-57a3-9b13-e4766dd2d897,tg:rubdoc:4004_#1,,remarks,Nederlands
e22_Items,1,rubdoc,tg:rubdoc:4014_#1,isad:rub:3146,Door 14,Corresponding LB-numbers: LB 1629-1713.,b8a74b78-f0c4-5582-a39f-b4b910ded387,b8a74b78-f0c4-5582-a39f-b4b910ded387,tg:rubdoc:4014_#1,,remarks,Nederlands
