ResourceID,brocade.id,card,order,source_field,source_code,Condition Status
0a742471-3397-5b6a-b37a-953f39bb1612,tg:rubgr:1554_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
7adb19f3-c902-5593-a861-8eb528d2f9d6,tg:rubgr:4066_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
1d1d9058-015c-54a0-b061-3425dc09856a,tg:rubgr:4344_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
878a1e32-f6d0-5862-83ac-db3f596235e1,tg:rubgr:1721_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
f4d7b0dc-d222-5af6-a02c-cb1ba291e5b2,tg:rubgr:3813_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
2a3db350-ad6e-5b99-b57a-11e60bf7b05e,tg:rubgr:4597_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
f987ad5c-f1be-5729-9d9f-00fa02502e21,tg:rubgr:589_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
fcb97f0f-17cf-5ecc-8e2b-cae7b97beae3,tg:rubgr:542_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
2a2d327c-0735-55f7-b5f0-85e2fadb737a,tg:rubgr:981_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
80705432-f022-55db-98df-a7605cfffe3a,tg:rubgr:1681_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
ea94946f-92a6-5780-8d5b-1da531089cf3,tg:rubgr:644_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
11f228c0-88ac-5c69-9372-6274a4d9868f,tg:rubgr:4007_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
546dcb50-255f-5673-bb3a-58bf2b2a8443,tg:rubgr:420_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
56b39b07-a9e1-5a12-9dd4-d21e380f6ca0,tg:rubgr:489_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
c9ad52ff-4ba4-523a-84d2-c4c491e6aa0c,tg:rubgr:1680_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
6f03fac6-d3f4-5137-aa67-0d2ecd3be804,tg:rubgr:3092_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
026f2e37-e23d-5aee-8a1c-243c5519e6e1,tg:rubgr:1079_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
71182656-b11b-5d05-910f-a66829a547bb,tg:rubgr:4078_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
a92035a7-f32c-52fd-aafe-bd2eb99aa9cd,tg:rubgr:2997_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
d79a0c2c-5317-524a-aa4f-44bef1d70ea0,tg:rubgr:640_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
33e2b290-7979-5ac5-8bef-b8ff1c2f404a,tg:rubgr:1317_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
43556d8c-4a51-5756-82cd-0311c2c6cab4,tg:rubgr:1085_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
a205e2f0-87c5-5feb-96ad-b5cf0b8bc716,tg:rubgr:1391_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
a2c6dc9b-85eb-56e2-8879-eef4d7f27ab5,tg:rubgr:3243_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
fe4435a8-1712-5168-806a-6413c2e45319,tg:rubgr:984_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
8591ff6c-7e11-5156-a4a1-8e78fb89a5a7,tg:rubgr:1905_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
a1c37842-bd3c-576a-b8bf-1d30d55ff790,tg:rubgr:3258_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
f86109bc-73e5-5fe4-b713-d4d57524d0db,tg:rubgr:1097_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
2430ce04-1131-5c01-8778-867d55f8c9a6,tg:rubgr:1206_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
9fc2c3d2-80eb-5213-a6c8-d406d21cc22a,tg:rubgr:369_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
a3398d4d-8125-5ed3-b247-2a104f116521,tg:rubgr:3070_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
06f7c272-1e6f-5efa-9e24-809c96dffe78,tg:rubgr:1611_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
1bfe9157-b8c1-541f-9c66-b2563f66e8d7,tg:rubgr:4522_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
