ResourceID,brocade.id,card,order,source_field,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type
868abc33-6608-503b-aa07-373c88b94f3e,tg:rubgr:598,e73_ExternalRelationsExtras,a::rub.17,ow.link,https://rkd.nl/nl/explore/images/,64155,online catalogs,RKDimages
04fbc0f6-7964-5fec-aa99-f37952fc1df4,tg:rubgr:1120,e73_ExternalRelationsExtras,a::rub.26:1,ow.link,https://rkd.nl/nl/explore/images/,261005,online catalogs,RKDimages
58101005-877b-5e68-8c33-bc3db928615d,tg:rubgr:588,e73_ExternalRelationsExtras,a::rub.16,ow.link,https://rkd.nl/nl/explore/images/,260964,online catalogs,RKDimages
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_ExternalRelationsExtras,a::rub.36,ow.link,https://rkd.nl/nl/explore/images/,261053,online catalogs,RKDimages
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_ExternalRelationsExtras,a::rub.37,ow.link,https://rkd.nl/nl/explore/images/,261051,online catalogs,RKDimages
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_ExternalRelationsExtras,a::rub.46,ow.link,https://rkd.nl/nl/explore/images/,59476,online catalogs,RKDimages
ad54f064-77d0-5b07-8f61-88c8c364a6c9,tg:rubgr:1403,e73_ExternalRelationsExtras,a::rub.38,ow.link,https://rkd.nl/nl/explore/images/,54753,online catalogs,RKDimages
b908f427-b934-5407-8df4-c078375c00b7,tg:rubgr:932,e73_ExternalRelationsExtras,a::rub.25,ow.link,https://rkd.nl/nl/explore/images/,60114,online catalogs,RKDimages
bcc0afd0-776c-52c6-b82f-90cc6115be0f,tg:rubgr:1413,e73_ExternalRelationsExtras,a::rub.38,ow.link,https://rkd.nl/nl/explore/images/,54753,online catalogs,RKDimages
04d8e355-1d18-5c7e-a6a9-ad955e56ee41,tg:rubgr:922,e73_ExternalRelationsExtras,a::rub.25,ow.link,https://rkd.nl/nl/explore/images/,60114,online catalogs,RKDimages
