ResourceID,brocade.id,card,order,source_field,source_code,Dimension Source Note
11daa277-63db-5c88-a710-edbfcd31196f,tg:rubhs:31_#1,e22_DimensionSourceNotes,1,kenmerken/rubformaths.rubformathsafm,"12,5 x 8,5 x 0,7","12,5 x 8,5 x 0,7 - height, width, depth, kenmerken/rubformaths.rubformathsafm"
96054547-ed09-553f-ad51-49fb23faff12,tg:rubhs:21_#1,e22_DimensionSourceNotes,1,kenmerken/rubformaths.rubformathsafm,"11,2 x 7,5 x 1","11,2 x 7,5 x 1 - height, width, depth, kenmerken/rubformaths.rubformathsafm"
a0f4505a-38d4-5c11-8119-3cea14b3b45f,tg:rubhs:88_#1,e22_DimensionSourceNotes,1,kenmerken/rubformaths.rubformathsafm,"16 x 10 x 1,5","16 x 10 x 1,5 - height, width, depth, kenmerken/rubformaths.rubformathsafm"
828b6921-fbb4-562e-9ddc-b10d7cc0e42f,tg:rubhs:108_#1,e22_DimensionSourceNotes,1,kenmerken/rubformaths.rubformathsafm,"16,5 x 10,5 x 1","16,5 x 10,5 x 1 - height, width, depth, kenmerken/rubformaths.rubformathsafm"
fe007a6b-04ef-5482-90d1-b1829050dffe,tg:rubhs:118_#1,e22_DimensionSourceNotes,1,kenmerken/rubformaths.rubformathsafm,"7 x 11 x 0,5","7 x 11 x 0,5 - height, width, depth, kenmerken/rubformaths.rubformathsafm"
e48b6c77-a010-56a1-9b8e-d5428290e54f,tg:rubhs:53_#1,e22_DimensionSourceNotes,1,kenmerken/rubformaths.rubformathsafm,"16,5 x 10,5 x 0,3","16,5 x 10,5 x 0,3 - height, width, depth, kenmerken/rubformaths.rubformathsafm"
7c1308fe-7e53-5742-ab1c-6d448ad06b28,tg:rubhs:43_#1,e22_DimensionSourceNotes,1,kenmerken/rubformaths.rubformathsafm,"12 x 8 x 1,5","12 x 8 x 1,5 - height, width, depth, kenmerken/rubformaths.rubformathsafm"
eb2b2eff-a1cc-5b94-91ee-d50b5ffe188b,tg:rubhs:155_#1,e22_DimensionSourceNotes,1,kenmerken/rubformaths.rubformathsafm,"16 x 10,5 x 1","16 x 10,5 x 1 - height, width, depth, kenmerken/rubformaths.rubformathsafm"
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,e22_DimensionSourceNotes,1,kenmerken/rubformaths.rubformathsafm,"17 x 10,5 x 1,2","17 x 10,5 x 1,2 - height, width, depth, kenmerken/rubformaths.rubformathsafm"
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,e22_DimensionSourceNotes,1,kenmerken/rubformaths.rubformathsafm,"16 x 10 x 1,7","16 x 10 x 1,7 - height, width, depth, kenmerken/rubformaths.rubformathsafm"
43c986f8-d80c-5f44-a328-559e4cef7685,tg:rubhs:127_#1,e22_DimensionSourceNotes,1,kenmerken/rubformaths.rubformathsafm,"7 x 11 x 0,5","7 x 11 x 0,5 - height, width, depth, kenmerken/rubformaths.rubformathsafm"
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,e22_DimensionSourceNotes,1,kenmerken/rubformaths.rubformathsafm,"16,5 x 10,5 x 1","16,5 x 10,5 x 1 - height, width, depth, kenmerken/rubformaths.rubformathsafm"
