ResourceID,brocade.id,card,order,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type
883eaa0b-5ca3-5345-a316-e3c3738ebd04,tg:rubgr:3750_#1,AA,0,Rubenianum,tg:rubgr:3750_#1,record identifiers,https://data.rubenianum.be//ark:/86530/883eaa0b-5ca3-5345-a316-e3c3738ebd04,object identifier
6cbf541f-bc42-5aad-a563-94aebca8d083,tg:rubgr:598_#1,AA,0,Rubenianum,tg:rubgr:598_#1,record identifiers,https://data.rubenianum.be//ark:/86530/6cbf541f-bc42-5aad-a563-94aebca8d083,object identifier
ffac129d-84bd-563d-887e-078fe0cc22fe,tg:rubgr:3628_#1,AA,0,Rubenianum,tg:rubgr:3628_#1,record identifiers,https://data.rubenianum.be//ark:/86530/ffac129d-84bd-563d-887e-078fe0cc22fe,object identifier
5b63b7bc-ec00-5ebd-8022-fc5e04187bff,tg:rubgr:2322_#1,AA,0,Rubenianum,tg:rubgr:2322_#1,record identifiers,https://data.rubenianum.be//ark:/86530/5b63b7bc-ec00-5ebd-8022-fc5e04187bff,object identifier
0b9a0f0f-d3cb-5252-b4db-86e5ddc0090e,tg:rubgr:3740_#1,AA,0,Rubenianum,tg:rubgr:3740_#1,record identifiers,https://data.rubenianum.be//ark:/86530/0b9a0f0f-d3cb-5252-b4db-86e5ddc0090e,object identifier
1b98f93a-f9ad-56b5-a3e3-9665fd549efd,tg:rubgr:1120_#1,AA,0,Rubenianum,tg:rubgr:1120_#1,record identifiers,https://data.rubenianum.be//ark:/86530/1b98f93a-f9ad-56b5-a3e3-9665fd549efd,object identifier
7a13299b-3203-5266-87b9-f07dc46c3a2e,tg:rubgr:3638_#1,AA,0,Rubenianum,tg:rubgr:3638_#1,record identifiers,https://data.rubenianum.be//ark:/86530/7a13299b-3203-5266-87b9-f07dc46c3a2e,object identifier
3ca4d00d-5c92-59f3-9477-f4c4fbdd479d,tg:rubgr:2332_#1,AA,0,Rubenianum,tg:rubgr:2332_#1,record identifiers,https://data.rubenianum.be//ark:/86530/3ca4d00d-5c92-59f3-9477-f4c4fbdd479d,object identifier
e517c8de-074d-5f55-b5e5-6ccec95216d7,tg:rubgr:588_#1,AA,0,Rubenianum,tg:rubgr:588_#1,record identifiers,https://data.rubenianum.be//ark:/86530/e517c8de-074d-5f55-b5e5-6ccec95216d7,object identifier
b25d4e85-6747-5f6f-8f12-bbf70f53a0cf,tg:rubgr:1058_#1,AA,0,Rubenianum,tg:rubgr:1058_#1,record identifiers,https://data.rubenianum.be//ark:/86530/b25d4e85-6747-5f6f-8f12-bbf70f53a0cf,object identifier
5ec694bf-b2bd-5275-b93f-7a3ea9a2f480,tg:rubgr:4143_#1,AA,0,Rubenianum,tg:rubgr:4143_#1,record identifiers,https://data.rubenianum.be//ark:/86530/5ec694bf-b2bd-5275-b93f-7a3ea9a2f480,object identifier
94d13175-0239-556d-b9a7-7229fc5ce63a,tg:rubgr:1765_#1,AA,0,Rubenianum,tg:rubgr:1765_#1,record identifiers,https://data.rubenianum.be//ark:/86530/94d13175-0239-556d-b9a7-7229fc5ce63a,object identifier
f54b955d-f3e6-5468-b866-8145df3a9143,tg:rubgr:3115_#1,AA,0,Rubenianum,tg:rubgr:3115_#1,record identifiers,https://data.rubenianum.be//ark:/86530/f54b955d-f3e6-5468-b866-8145df3a9143,object identifier
0ff6c2f1-2384-59f3-b8a4-f86b7adce6c8,tg:rubgr:4153_#1,AA,0,Rubenianum,tg:rubgr:4153_#1,record identifiers,https://data.rubenianum.be//ark:/86530/0ff6c2f1-2384-59f3-b8a4-f86b7adce6c8,object identifier
a964cc8c-b93b-5c62-804f-cbd42ad89a14,tg:rubgr:1775_#1,AA,0,Rubenianum,tg:rubgr:1775_#1,record identifiers,https://data.rubenianum.be//ark:/86530/a964cc8c-b93b-5c62-804f-cbd42ad89a14,object identifier
95947417-9a4b-5439-8a4a-92970a63a8e3,tg:rubgr:2769_#1,AA,0,Rubenianum,tg:rubgr:2769_#1,record identifiers,https://data.rubenianum.be//ark:/86530/95947417-9a4b-5439-8a4a-92970a63a8e3,object identifier
d336da52-b59d-57ac-91bd-49789599deec,tg:rubgr:3263_#1,AA,0,Rubenianum,tg:rubgr:3263_#1,record identifiers,https://data.rubenianum.be//ark:/86530/d336da52-b59d-57ac-91bd-49789599deec,object identifier
a4fea23d-ee3a-5c6d-ab2a-e22da7720b43,tg:rubgr:1403_#1,AA,0,Rubenianum,tg:rubgr:1403_#1,record identifiers,https://data.rubenianum.be//ark:/86530/a4fea23d-ee3a-5c6d-ab2a-e22da7720b43,object identifier
16ed7c03-a75c-54af-99a8-d38e88088caf,tg:rubgr:932_#1,AA,0,Rubenianum,tg:rubgr:932_#1,record identifiers,https://data.rubenianum.be//ark:/86530/16ed7c03-a75c-54af-99a8-d38e88088caf,object identifier
ff61860a-518e-564c-aff2-e065b3f932fe,tg:rubgr:1413_#1,AA,0,Rubenianum,tg:rubgr:1413_#1,record identifiers,https://data.rubenianum.be//ark:/86530/ff61860a-518e-564c-aff2-e065b3f932fe,object identifier
f424dd96-ffea-5270-9f07-ce2abee2f6c0,tg:rubgr:2779_#1,AA,0,Rubenianum,tg:rubgr:2779_#1,record identifiers,https://data.rubenianum.be//ark:/86530/f424dd96-ffea-5270-9f07-ce2abee2f6c0,object identifier
b4a520ca-b4ae-5cb4-9b00-fb8dca3cb7b7,tg:rubgr:3273_#1,AA,0,Rubenianum,tg:rubgr:3273_#1,record identifiers,https://data.rubenianum.be//ark:/86530/b4a520ca-b4ae-5cb4-9b00-fb8dca3cb7b7,object identifier
93c6ced4-b01c-569a-b7e1-583239c2b4a4,tg:rubgr:922_#1,AA,0,Rubenianum,tg:rubgr:922_#1,record identifiers,https://data.rubenianum.be//ark:/86530/93c6ced4-b01c-569a-b7e1-583239c2b4a4,object identifier
7657ac62-b058-58e7-a4d1-176de705c497,tg:rubgr:786_#1,AA,0,Rubenianum,tg:rubgr:786_#1,record identifiers,https://data.rubenianum.be//ark:/86530/7657ac62-b058-58e7-a4d1-176de705c497,object identifier
