ResourceID,brocade.id,card,order,source_field,Keyword
868abc33-6608-503b-aa07-373c88b94f3e,tg:rubgr:598,e73_Keywords,1,kenmerken.rubkeyword,"Bermejo, Bartolomé"
868abc33-6608-503b-aa07-373c88b94f3e,tg:rubgr:598,e73_Keywords,2,kenmerken.rubkeyword,"Christus, Petrus"
868abc33-6608-503b-aa07-373c88b94f3e,tg:rubgr:598,e73_Keywords,3,kenmerken.rubkeyword,"Winkler, Friedrich"
868abc33-6608-503b-aa07-373c88b94f3e,tg:rubgr:598,e73_Keywords,4,kenmerken.rubkeyword,"Berlijn, Gemäldegalerie der Staatlichen Museen"
650efedc-b7c6-5db3-ab9e-5a7e20c2c554,tg:rubgr:3628,e73_Keywords,1,kenmerken.rubkeyword,"Seilern, Antoine"
a8c7dfb9-dd03-5731-b24c-df6e1b3ea630,tg:rubgr:2322,e73_Keywords,1,kenmerken.rubkeyword,"Anthoine, Jean-Baptiste"
a8c7dfb9-dd03-5731-b24c-df6e1b3ea630,tg:rubgr:2322,e73_Keywords,10,kenmerken.rubkeyword,"Thiery, Yvonne"
a8c7dfb9-dd03-5731-b24c-df6e1b3ea630,tg:rubgr:2322,e73_Keywords,2,kenmerken.rubkeyword,"Mazarin, Jules (kardinaal)"
a8c7dfb9-dd03-5731-b24c-df6e1b3ea630,tg:rubgr:2322,e73_Keywords,3,kenmerken.rubkeyword,"Valckenisse, Philips"
a8c7dfb9-dd03-5731-b24c-df6e1b3ea630,tg:rubgr:2322,e73_Keywords,4,kenmerken.rubkeyword,"Combe, Jacques"
a8c7dfb9-dd03-5731-b24c-df6e1b3ea630,tg:rubgr:2322,e73_Keywords,5,kenmerken.rubkeyword,"Cosnac, Gabriel-Jules de [comte]"
a8c7dfb9-dd03-5731-b24c-df6e1b3ea630,tg:rubgr:2322,e73_Keywords,6,kenmerken.rubkeyword,"Greindl, Edith"
a8c7dfb9-dd03-5731-b24c-df6e1b3ea630,tg:rubgr:2322,e73_Keywords,7,kenmerken.rubkeyword,"Hymans, Henri"
a8c7dfb9-dd03-5731-b24c-df6e1b3ea630,tg:rubgr:2322,e73_Keywords,8,kenmerken.rubkeyword,"Morigi, Paolo"
a8c7dfb9-dd03-5731-b24c-df6e1b3ea630,tg:rubgr:2322,e73_Keywords,9,kenmerken.rubkeyword,"Vaes, Maurice"
36191158-9446-5245-93e5-6d2e410bb158,tg:rubgr:3740,e73_Keywords,1,kenmerken.rubkeyword,"Weigel, Hans I"
36191158-9446-5245-93e5-6d2e410bb158,tg:rubgr:3740,e73_Keywords,2,kenmerken.rubkeyword,"Hottenroth, Friedrich"
04fbc0f6-7964-5fec-aa99-f37952fc1df4,tg:rubgr:1120,e73_Keywords,1,kenmerken.rubkeyword,"Demus, Klaus"
ce559a66-7789-55d0-87d9-890816bd884c,tg:rubgr:2332,e73_Keywords,1,kenmerken.rubkeyword,"Gerszi, Teréz"
58101005-877b-5e68-8c33-bc3db928615d,tg:rubgr:588,e73_Keywords,1,kenmerken.rubkeyword,tekenkunst
58101005-877b-5e68-8c33-bc3db928615d,tg:rubgr:588,e73_Keywords,2,kenmerken.rubkeyword,prentkunst
58101005-877b-5e68-8c33-bc3db928615d,tg:rubgr:588,e73_Keywords,3,kenmerken.rubkeyword,"Janson, Horst W."
58101005-877b-5e68-8c33-bc3db928615d,tg:rubgr:588,e73_Keywords,4,kenmerken.rubkeyword,"Berlijn, Gemäldegalerie der Staatlichen Museen"
40fa2971-dfc1-540c-b95c-6bd1a876aeb7,tg:rubgr:1058,e73_Keywords,1,kenmerken.rubkeyword,vormgeving
e11f0dc2-77c3-518c-ae46-fc8c0565d2b0,tg:rubgr:4143,e73_Keywords,1,kenmerken.rubkeyword,"Collins Baker, C.H."
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_Keywords,1,kenmerken.rubkeyword,"Bol, Hans"
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_Keywords,2,kenmerken.rubkeyword,"Cleve, Marten van (I)"
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_Keywords,3,kenmerken.rubkeyword,"Holbein, Hans II"
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_Keywords,4,kenmerken.rubkeyword,prentkunst
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_Keywords,5,kenmerken.rubkeyword,"Hind, Arthur Mayger"
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_Keywords,6,kenmerken.rubkeyword,"Schreiber, Wilhelm Ludwig"
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_Keywords,7,kenmerken.rubkeyword,"Stridbeck, Carl Gustav"
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_Keywords,8,kenmerken.rubkeyword,"Princeton University, Art Museum"
a1c6d2be-0127-5043-98bb-989b32082c22,tg:rubgr:1775,e73_Keywords,1,kenmerken.rubkeyword,"Valckenisse, Philips"
7f6b1010-a2a3-5885-baad-592421f9ddad,tg:rubgr:2769,e73_Keywords,1,kenmerken.rubkeyword,"Clovio, Giulio"
7f6b1010-a2a3-5885-baad-592421f9ddad,tg:rubgr:2769,e73_Keywords,2,kenmerken.rubkeyword,"Spranger, Bartholomeus"
ad54f064-77d0-5b07-8f61-88c8c364a6c9,tg:rubgr:1403,e73_Keywords,1,kenmerken.rubkeyword,"Schulze, Martin"
ad54f064-77d0-5b07-8f61-88c8c364a6c9,tg:rubgr:1403,e73_Keywords,2,kenmerken.rubkeyword,"Londen, The Warburg Institute Library"
b908f427-b934-5407-8df4-c078375c00b7,tg:rubgr:932,e73_Keywords,1,kenmerken.rubkeyword,"Perret, Pieter"
b908f427-b934-5407-8df4-c078375c00b7,tg:rubgr:932,e73_Keywords,2,kenmerken.rubkeyword,"Valentiner, W.R."
b908f427-b934-5407-8df4-c078375c00b7,tg:rubgr:932,e73_Keywords,3,kenmerken.rubkeyword,"Philadelphia, Philadelphia Museum of Art"
4cf2bf6c-31aa-5807-950a-48bc1ee7aaf8,tg:rubgr:2779,e73_Keywords,1,kenmerken.rubkeyword,"Reynolds, Joshua"
04d8e355-1d18-5c7e-a6a9-ad955e56ee41,tg:rubgr:922,e73_Keywords,1,kenmerken.rubkeyword,"Halmale, Henri II van"
04d8e355-1d18-5c7e-a6a9-ad955e56ee41,tg:rubgr:922,e73_Keywords,2,kenmerken.rubkeyword,"Lorrain, Claude"
04d8e355-1d18-5c7e-a6a9-ad955e56ee41,tg:rubgr:922,e73_Keywords,3,kenmerken.rubkeyword,"Jadin, Louis"
04d8e355-1d18-5c7e-a6a9-ad955e56ee41,tg:rubgr:922,e73_Keywords,4,kenmerken.rubkeyword,"Röthlisberger, Marcel"
a8844ef0-dd62-591f-b6e2-d7f2e3e03184,tg:rubgr:786,e73_Keywords,1,kenmerken.rubkeyword,"Scorel, Jan van"
a8844ef0-dd62-591f-b6e2-d7f2e3e03184,tg:rubgr:786,e73_Keywords,2,kenmerken.rubkeyword,"Vendramin, Andrea"
a8844ef0-dd62-591f-b6e2-d7f2e3e03184,tg:rubgr:786,e73_Keywords,3,kenmerken.rubkeyword,"Borenius, Tancred"
f0775413-cc46-568e-8f75-18c2599170b7,tg:rubgr:5002,e73_Keywords,1,kenmerken.rubkeyword,"Bock, Elfriede"
0c23acfd-4fa5-52d5-94ae-0cdde41675b9,tg:rubgr:1246,e73_Keywords,1,kenmerken.rubkeyword,"Alba, Fernando Alvarez de Toledo"
57cd7876-8884-5909-9bd0-cbafcf8601cf,tg:rubgr:4460,e73_Keywords,1,kenmerken.rubkeyword,"Grimmer, Abel"
d20c8d98-f201-5240-b441-c4bf2f16a91a,tg:rubgr:5012,e73_Keywords,1,kenmerken.rubkeyword,"Trevelyan, George Macaulay"
61b30258-2c0b-5009-a544-c3f6a9050c54,tg:rubgr:2185,e73_Keywords,1,kenmerken.rubkeyword,"Schuster, Heinrich"
25f6fa2a-3a66-5b66-99c6-a4b0e74c462c,tg:rubgr:657,e73_Keywords,1,kenmerken.rubkeyword,"Redford, George"
f5ef881b-904b-5c04-adc9-853ceadbf766,tg:rubgr:1810,e73_Keywords,1,kenmerken.rubkeyword,"Jedlicka, Gotthard"
e9bef3ad-240e-5830-b9fa-658feceef939,tg:rubgr:459,e73_Keywords,1,kenmerken.rubkeyword,Antonello da Messina
e9bef3ad-240e-5830-b9fa-658feceef939,tg:rubgr:459,e73_Keywords,2,kenmerken.rubkeyword,"Bottari, Stefano"
e9bef3ad-240e-5830-b9fa-658feceef939,tg:rubgr:459,e73_Keywords,3,kenmerken.rubkeyword,"Guerry, L."
e9bef3ad-240e-5830-b9fa-658feceef939,tg:rubgr:459,e73_Keywords,4,kenmerken.rubkeyword,"Palermo, Palazzo Sclafani"
edf99618-bb67-5547-9a18-d69600c1f412,tg:rubgr:88,e73_Keywords,1,kenmerken.rubkeyword,"Stevens, Pieter"
edf99618-bb67-5547-9a18-d69600c1f412,tg:rubgr:88,e73_Keywords,2,kenmerken.rubkeyword,"Dasnoy, A."
edf99618-bb67-5547-9a18-d69600c1f412,tg:rubgr:88,e73_Keywords,3,kenmerken.rubkeyword,"Roberts-Jones, Philippe"
67a88d3f-7e41-514a-9381-b81b5c2cb33a,tg:rubgr:449,e73_Keywords,1,kenmerken.rubkeyword,dodendans
67a88d3f-7e41-514a-9381-b81b5c2cb33a,tg:rubgr:449,e73_Keywords,2,kenmerken.rubkeyword,"Mone, Franz Joseph"
61fafe70-494b-5c1f-8a9d-6cfefae2c2a0,tg:rubgr:1199,e73_Keywords,1,kenmerken.rubkeyword,"Alba, Fernando Alvarez de Toledo"
61fafe70-494b-5c1f-8a9d-6cfefae2c2a0,tg:rubgr:1199,e73_Keywords,2,kenmerken.rubkeyword,"Jonghelinck, Jacques"
61fafe70-494b-5c1f-8a9d-6cfefae2c2a0,tg:rubgr:1199,e73_Keywords,3,kenmerken.rubkeyword,"Granvelle, Antoine Perrenot de"
61fafe70-494b-5c1f-8a9d-6cfefae2c2a0,tg:rubgr:1199,e73_Keywords,4,kenmerken.rubkeyword,"Pirenne, Henri"
f8afc93a-1159-5af3-bb7b-02813a428f2a,tg:rubgr:531,e73_Keywords,1,kenmerken.rubkeyword,"Orsini, Vicino"
f8afc93a-1159-5af3-bb7b-02813a428f2a,tg:rubgr:531,e73_Keywords,2,kenmerken.rubkeyword,"Chastel, André"
f8afc93a-1159-5af3-bb7b-02813a428f2a,tg:rubgr:531,e73_Keywords,3,kenmerken.rubkeyword,"Würtenberger, Franzsepp"
f8afc93a-1159-5af3-bb7b-02813a428f2a,tg:rubgr:531,e73_Keywords,4,kenmerken.rubkeyword,"Viterbo, beeldentuin van Bomarzo"
7112dc95-6c51-594a-910d-b11f820dc529,tg:rubgr:98,e73_Keywords,1,kenmerken.rubkeyword,"Herbrand, J."
7112dc95-6c51-594a-910d-b11f820dc529,tg:rubgr:98,e73_Keywords,2,kenmerken.rubkeyword,"Londen, Witt Library"
82a17df4-02f3-56fb-9d20-9f355bcdc755,tg:rubgr:1978,e73_Keywords,1,kenmerken.rubkeyword,"Hermsen, Dorus"
82a17df4-02f3-56fb-9d20-9f355bcdc755,tg:rubgr:1978,e73_Keywords,2,kenmerken.rubkeyword,"Nantes, Musée Dobrée"
82a17df4-02f3-56fb-9d20-9f355bcdc755,tg:rubgr:1978,e73_Keywords,3,kenmerken.rubkeyword,"Narbonne, Musée d'Art et d'Histoire"
82a17df4-02f3-56fb-9d20-9f355bcdc755,tg:rubgr:1978,e73_Keywords,4,kenmerken.rubkeyword,"Londen, Witt Library"
80b2675a-0bda-5829-9bb3-2532e12ce352,tg:rubgr:3825,e73_Keywords,1,kenmerken.rubkeyword,"Haverkamp-Begemann, Egbert"
955146f6-45ef-5557-ae04-d4c3862e9e2e,tg:rubgr:4082,e73_Keywords,1,kenmerken.rubkeyword,Geloofsovertuiging
0b2598b4-2daa-59d7-bbbd-a7e517e1c11a,tg:rubgr:364,e73_Keywords,1,kenmerken.rubkeyword,volkskunde
e010d292-42d9-5a7f-aee5-c0304a644461,tg:rubgr:4092,e73_Keywords,1,kenmerken.rubkeyword,"Waal, H. van de"
9088ea69-8a74-5063-bc80-6ae1aea3af8a,tg:rubgr:316,e73_Keywords,1,kenmerken.rubkeyword,Mundus inversus
9088ea69-8a74-5063-bc80-6ae1aea3af8a,tg:rubgr:316,e73_Keywords,2,kenmerken.rubkeyword,volkskunde
9088ea69-8a74-5063-bc80-6ae1aea3af8a,tg:rubgr:316,e73_Keywords,3,kenmerken.rubkeyword,"Babcock, Barbara"
9088ea69-8a74-5063-bc80-6ae1aea3af8a,tg:rubgr:316,e73_Keywords,4,kenmerken.rubkeyword,"Kunzle, David"
9088ea69-8a74-5063-bc80-6ae1aea3af8a,tg:rubgr:316,e73_Keywords,5,kenmerken.rubkeyword,"Meyer, Maurits de"
9088ea69-8a74-5063-bc80-6ae1aea3af8a,tg:rubgr:316,e73_Keywords,6,kenmerken.rubkeyword,"Suringar, Wilhelm H."
0fff98de-9f4b-532a-aab8-b193cdb7c9fb,tg:rubgr:4979,e73_Keywords,1,kenmerken.rubkeyword,"Jonghelinck, Jacques"
0fff98de-9f4b-532a-aab8-b193cdb7c9fb,tg:rubgr:4979,e73_Keywords,2,kenmerken.rubkeyword,"Leoni, Leone"
0fff98de-9f4b-532a-aab8-b193cdb7c9fb,tg:rubgr:4979,e73_Keywords,3,kenmerken.rubkeyword,"Motta, Emilio"
e3e16072-9282-5882-913e-3e6eab2f071e,tg:rubgr:4811,e73_Keywords,1,kenmerken.rubkeyword,"Mulcaster, Richard"
bc950c8f-136c-5eca-96a0-28bee50bf154,tg:rubgr:4969,e73_Keywords,1,kenmerken.rubkeyword,"Bolte, Johannes"
20a4ccde-a27a-55ab-bec3-340b4b765d21,tg:rubgr:2281,e73_Keywords,1,kenmerken.rubkeyword,"Winner, Matthias"
20a4ccde-a27a-55ab-bec3-340b4b765d21,tg:rubgr:2281,e73_Keywords,2,kenmerken.rubkeyword,"Hyams, H. J."
06921ce1-fe17-5d32-8b18-56a8708aa945,tg:rubgr:1872,e73_Keywords,1,kenmerken.rubkeyword,"Lister, Raymond"
ee38a826-392b-5604-8e7c-13146bed7323,tg:rubgr:543,e73_Keywords,1,kenmerken.rubkeyword,"Goltzius, Hendrik"
ee38a826-392b-5604-8e7c-13146bed7323,tg:rubgr:543,e73_Keywords,2,kenmerken.rubkeyword,Paulus
ee38a826-392b-5604-8e7c-13146bed7323,tg:rubgr:543,e73_Keywords,3,kenmerken.rubkeyword,"Plantijn, Christoffel"
ee38a826-392b-5604-8e7c-13146bed7323,tg:rubgr:543,e73_Keywords,4,kenmerken.rubkeyword,"Hirschmann, Otto"
ee38a826-392b-5604-8e7c-13146bed7323,tg:rubgr:543,e73_Keywords,5,kenmerken.rubkeyword,"Schrade, Hubert"
dca6d051-19b7-55c4-b6f9-09d39b67a40c,tg:rubgr:1083,e73_Keywords,1,kenmerken.rubkeyword,"Apt, Ulrich I"
dca6d051-19b7-55c4-b6f9-09d39b67a40c,tg:rubgr:1083,e73_Keywords,2,kenmerken.rubkeyword,"Breu, Jörg I"
dca6d051-19b7-55c4-b6f9-09d39b67a40c,tg:rubgr:1083,e73_Keywords,3,kenmerken.rubkeyword,"Heiss, Johann"
dca6d051-19b7-55c4-b6f9-09d39b67a40c,tg:rubgr:1083,e73_Keywords,4,kenmerken.rubkeyword,"Seekatz, Johann Conrad"
