ResourceID,brocade.id,card,order,source_field,source_code,Language
454d6ddc-3764-5a34-a2cf-b5bb4a97f9bb,tg:rubhs:31,e73_Languages,1,kenmerken.rublanguagehs,eng,English (language)
454d6ddc-3764-5a34-a2cf-b5bb4a97f9bb,tg:rubhs:31,e73_Languages,2,kenmerken.rublanguagehs,ger,German (language)
9393531a-c279-5330-a028-1eaad6505039,tg:rubhs:21,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
da1c9379-7cb1-59a3-90a7-41c1bea975a7,tg:rubhs:88,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
da1c9379-7cb1-59a3-90a7-41c1bea975a7,tg:rubhs:88,e73_Languages,2,kenmerken.rublanguagehs,eng,English (language)
1c10d76a-7a30-5a5b-8337-268acd0ae9f1,tg:rubhs:108,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
1c10d76a-7a30-5a5b-8337-268acd0ae9f1,tg:rubhs:108,e73_Languages,2,kenmerken.rublanguagehs,eng,English (language)
a7b7dfe7-8bff-58b8-b9a6-7d85258ad951,tg:rubhs:118,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
396d9030-f603-5a4d-88e1-4a1190d86187,tg:rubhs:53,e73_Languages,1,kenmerken.rublanguagehs,dut,Dutch (language)
396d9030-f603-5a4d-88e1-4a1190d86187,tg:rubhs:53,e73_Languages,2,kenmerken.rublanguagehs,ger,German (language)
1f383322-e8b4-573b-86ee-bc6813d2abbd,tg:rubhs:43,e73_Languages,1,kenmerken.rublanguagehs,eng,English (language)
27533568-4345-51b9-a141-691a47ff01e0,tg:rubhs:155,e73_Languages,1,kenmerken.rublanguagehs,eng,English (language)
fffc2c31-2f2e-5bd7-ad05-e3595d32b8d8,tg:rubhs:145,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
6c774a55-ac69-59f8-93a0-b1be0c7a230d,tg:rubhs:137,e73_Languages,1,kenmerken.rublanguagehs,fre,French (language)
6c774a55-ac69-59f8-93a0-b1be0c7a230d,tg:rubhs:137,e73_Languages,2,kenmerken.rublanguagehs,ger,German (language)
6c774a55-ac69-59f8-93a0-b1be0c7a230d,tg:rubhs:137,e73_Languages,3,kenmerken.rublanguagehs,eng,English (language)
7bb7ee8c-d758-5f48-85c7-92490616feb2,tg:rubhs:127,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
7bb7ee8c-d758-5f48-85c7-92490616feb2,tg:rubhs:127,e73_Languages,2,kenmerken.rublanguagehs,fre,French (language)
7bb7ee8c-d758-5f48-85c7-92490616feb2,tg:rubhs:127,e73_Languages,3,kenmerken.rublanguagehs,eng,English (language)
269cd29b-9b7e-5d01-bac2-e53aa005792a,tg:rubhs:111,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
269cd29b-9b7e-5d01-bac2-e53aa005792a,tg:rubhs:111,e73_Languages,2,kenmerken.rublanguagehs,fre,French (language)
269cd29b-9b7e-5d01-bac2-e53aa005792a,tg:rubhs:111,e73_Languages,3,kenmerken.rublanguagehs,eng,English (language)
64e24d91-5997-55c1-92cf-9666e5a8e1b4,tg:rubhs:101,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
b8dc72da-ef79-56ae-83a1-392fe8d16013,tg:rubhs:28,e73_Languages,1,kenmerken.rublanguagehs,eng,English (language)
b8dc72da-ef79-56ae-83a1-392fe8d16013,tg:rubhs:28,e73_Languages,2,kenmerken.rublanguagehs,ger,German (language)
71627245-8df3-5bfa-a9ff-5dd5f397f28d,tg:rubhs:38,e73_Languages,1,kenmerken.rublanguagehs,eng,English (language)
032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,tg:rubhs:173,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
4d430dc5-68c5-5556-9ddc-4b9041c573e9,tg:rubhs:163,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
f9fad658-00a4-524b-bd89-6029367758dc,tg:rubhs:91,e73_Languages,1,kenmerken.rublanguagehs,eng,English (language)
f9fad658-00a4-524b-bd89-6029367758dc,tg:rubhs:91,e73_Languages,2,kenmerken.rublanguagehs,ger,German (language)
51b168ce-729d-54c0-a9ce-7b6a533a96b6,tg:rubhs:81,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
35c29247-ff60-5792-ae69-d95c4b40aa5a,tg:rubhs:215,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
5e2ac8ce-bc6f-5923-bc03-5c33df7689ff,tg:rubhs:205,e73_Languages,1,kenmerken.rublanguagehs,eng,English (language)
bf1ea677-dc81-5e11-997c-658e291849eb,tg:rubhs:75,e73_Languages,1,kenmerken.rublanguagehs,fre,French (language)
bf1ea677-dc81-5e11-997c-658e291849eb,tg:rubhs:75,e73_Languages,2,kenmerken.rublanguagehs,ger,German (language)
bf1ea677-dc81-5e11-997c-658e291849eb,tg:rubhs:75,e73_Languages,3,kenmerken.rublanguagehs,eng,English (language)
d43eb5ca-58dd-59c7-9a3b-6f79751297c9,tg:rubhs:65,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
d43eb5ca-58dd-59c7-9a3b-6f79751297c9,tg:rubhs:65,e73_Languages,2,kenmerken.rublanguagehs,fre,French (language)
fc2118b1-b344-55e4-bb6e-0a98740e35aa,tg:rubhs:187,e73_Languages,1,kenmerken.rublanguagehs,fre,French (language)
fc2118b1-b344-55e4-bb6e-0a98740e35aa,tg:rubhs:187,e73_Languages,2,kenmerken.rublanguagehs,eng,English (language)
bb580b69-be01-550d-9ef8-8ecd9a1e9dc4,tg:rubhs:17,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
3aed7578-560b-5a55-b79a-491492b5e8ae,tg:rubhs:100,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
b3f40f5e-25d3-57f8-b1be-193b5b5afa07,tg:rubhs:110,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
bba95541-b953-51cb-bb30-06349e54c4d3,tg:rubhs:162,e73_Languages,1,kenmerken.rublanguagehs,eng,English (language)
bba95541-b953-51cb-bb30-06349e54c4d3,tg:rubhs:162,e73_Languages,2,kenmerken.rublanguagehs,ger,German (language)
a5f10b42-d12b-566f-a7b3-0de3687cc628,tg:rubhs:172,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
a5f10b42-d12b-566f-a7b3-0de3687cc628,tg:rubhs:172,e73_Languages,2,kenmerken.rublanguagehs,eng,English (language)
63470bbd-1ac7-5b2c-a570-6ccf1abf7c7b,tg:rubhs:204,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
458021ac-32d3-5dd9-91b6-8c165064acdf,tg:rubhs:214,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
ebc83518-f60b-5f0c-b64c-80c6387a73d0,tg:rubhs:80,e73_Languages,1,kenmerken.rublanguagehs,ger,German (language)
