ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,museum,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Documented Place Order,place_au_code,Documented Place Name Widget,Creation Place Widget,Transactions
7c3ae954-9de2-56c5-a95e-4bcd135e349e,tg:rubgr:3518,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:3518,record identifiers,https://data.rubenianum.be//ark:/86530/7c3ae954-9de2-56c5-a95e-4bcd135e349e,object identifier,Handschriften,,,,,,,,
7c3ae954-9de2-56c5-a95e-4bcd135e349e,tg:rubgr:3518,e73_AssociatedRecords,1,,,,,,,,,rubgr_tekstdrager,relatie naar geheel,tg:rubgr:3516,Verwijzing naar Grossmann object,,f06431a9-a8d9-5b59-9b59-41a5701c133c,"[{""resourceId"": ""f06431a9-a8d9-5b59-9b59-41a5701c133c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4fedaade-5ff3-496d-8a42-87a09e027394"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c3ae954-9de2-56c5-a95e-4bcd135e349e,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2a345de1-9906-448f-a992-0e82c14278fd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""aeb4b50f-6eb9-4f34-8d3f-1c8cd677506b"", ""inverseOntologyProperty"": """"}]"
7c3ae954-9de2-56c5-a95e-4bcd135e349e,tg:rubgr:3518,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,,,,,
7c3ae954-9de2-56c5-a95e-4bcd135e349e,tg:rubgr:3518,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Van Dyck after Bruegel: 1) Massacre of Innocents [...]; 2) Detail from Justitia engraving [...]</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c3ae954-9de2-56c5-a95e-4bcd135e349e,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000003518,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,,,
7c3ae954-9de2-56c5-a95e-4bcd135e349e,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>5771</priref>
			<number>AFG_095_003</number>
			<part_of_reference>AFG_095_001</part_of_reference>
			<content>Van Dyck after Bruegel: 1) Massacre of Innocents [...]; 2) Detail from Justitia engraving [...]</content>
			<object.object_number>AFG_095</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<part_of.title>From Bruegel to Rubens.</part_of.title>
			<class>AFG</class>
			<editorial_form>Notitie</editorial_form>
			<object.title>From Bruegel to Rubens. Bruegel &amp; Bosch Revival (Elephant)</object.title>
			<keyword>Dyck, Antoon van</keyword>
			<object.creator/>
			<input.date>2014-06-20</input.date>
			<edit.date>2014-06-20</edit.date>
			<input.name>Centrum</input.name>
			<edit.name>Centrum</edit.name>
			<edit.time>08:54:04</edit.time>
			<input.time>08:47:13</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,,,
7c3ae954-9de2-56c5-a95e-4bcd135e349e,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:3518,brocade id,False,,,,,,,,,,,,,,,,,,,,,,,,
7c3ae954-9de2-56c5-a95e-4bcd135e349e,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:3518/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,,,,
7c3ae954-9de2-56c5-a95e-4bcd135e349e,tg:rubgr:3518,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4b118cff-5e5d-5f80-9e6d-b82da1a77266"", ""ontologyProperty"": """", ""resourceXresourceId"": ""55a46c8e-8099-4f85-9f7d-0b6cb6b5c13e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,
7c3ae954-9de2-56c5-a95e-4bcd135e349e,tg:rubgr:3518,e73_OtherIdentifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_095_003,repository numbers,,,,,,,,,,,,,,,,,
7c3ae954-9de2-56c5-a95e-4bcd135e349e,tg:rubgr:3518,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_095_003,titles proper,Dutch (language),,,,,,,,,,,,,,
7c3ae954-9de2-56c5-a95e-4bcd135e349e,tg:rubgr:3518,e73_Titles,,,au::6121,,,,,,,rubgr_tekstdrager,,,,,,,rub,Tekstdrager,c7c2d91e-bcf9-57c2-a0b3-16e65966862e,kw,,au::6121:1,au::6121g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/654947"",""au::6121"",""au::6121:1"",""ark:/83110/x0/c7c2d91e-bcf9-57c2-a0b3-16e65966862e"",""Antoon van Dyck"",""ark:/83110/x0/fa4f9b26-b868-5ad4-a63e-a8d22b16cf50""],""name"":""Antoon van Dyck"",""ark"":""ark:/83110/x0/fa4f9b26-b868-5ad4-a63e-a8d22b16cf50"",""uri"":""/agents/people/654947"",""id"":""au::6121:1"",""resourceArk"":""ark:/83110/x0/c7c2d91e-bcf9-57c2-a0b3-16e65966862e"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c7c2d91e-bcf9-57c2-a0b3-16e65966862e,,,,,,,,,,,,,,,,,,,
