ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,museum,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Documented Place Order,place_au_code,Documented Place Name Widget,Creation Place Widget,Transactions
07624847-a4ab-518e-8028-794a4e8fc38b,tg:rubgr:4036,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:4036,record identifiers,https://data.rubenianum.be//ark:/86530/07624847-a4ab-518e-8028-794a4e8fc38b,object identifier,Handschriften,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,tg:rubgr:4036,e73_AssociatedRecords,1,,,,,,,,,rubgr_tekstdrager,relatie naar geheel,tg:rubgr:4032,Verwijzing naar Grossmann object,,47389a44-1672-5697-b70e-f5ce4050dbd1,"[{""resourceId"": ""47389a44-1672-5697-b70e-f5ce4050dbd1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""82883440-2671-4266-bc3c-4122770ff4d1"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2ab0b8cb-6561-4817-93fa-23319928d390"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e47234bf-02c6-4379-ab25-0878635db425"", ""inverseOntologyProperty"": """"}]"
07624847-a4ab-518e-8028-794a4e8fc38b,tg:rubgr:4036,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,tg:rubgr:4036,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Ad [Addendum] Ortelius. M. van Durme, Antoon Perrenot van Granvelle, beschermheer van Christoffel Plantijn (Kath. Vlaamse Hogeschooluitbrieding Jrg.LII, 4) Antwerpen 1948; A. Castan, L'un des peintres du nom de Coxcie aux prises avec l'inquisition, Bull. Acad. roy. Belge, IIIe série, part VII/1, Brussels 1884.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,tg:rubgr:4036,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Granvelle, Antoine Perrenot de",,,,,,,,,,,,,,,,,,,,,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,tg:rubgr:4036,e73_Keywords,2,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Castan, Auguste",,,,,,,,,,,,,,,,,,,,,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,tg:rubgr:4036,e73_Keywords,3,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Durme, M. van",,,,,,,,,,,,,,,,,,,,,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000004036,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>6289</priref>
			<number>AFG_106_021</number>
			<part_of_reference>AFG_106_017</part_of_reference>
			<content>Ad [Addendum] Ortelius. M. van Durme, Antoon Perrenot van Granvelle, beschermheer van Christoffel Plantijn (Kath. Vlaamse Hogeschooluitbrieding Jrg.LII, 4) Antwerpen 1948; A. Castan, L'un des peintres du nom de Coxcie aux prises avec l'inquisition, Bull. Acad. roy. Belge, IIIe s&#233;rie, part VII/1, Brussels 1884.</content>
			<object.object_number>AFG_106</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<part_of.title>Granvella</part_of.title>
			<class>AFG</class>
			<editorial_form>Referentie</editorial_form>
			<object.title>Bruegel Inventories &amp; my contributions to Gl&#252;ck; Genealogy</object.title>
			<keyword>Ortelius, Abraham</keyword>
			<keyword>Granvelle, Antoine Perrenot de</keyword>
			<keyword>Castan, Auguste</keyword>
			<keyword>Durme, M. van</keyword>
			<object.creator/>
			<input.date>2014-06-30</input.date>
			<edit.date>2014-06-30</edit.date>
			<input.name>Centrum</input.name>
			<edit.name>Centrum</edit.name>
			<edit.time>16:44:33</edit.time>
			<input.time>16:40:30</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:4036,brocade id,False,,,,,,,,,,,,,,,,,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:4036/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,tg:rubgr:4036,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fdba943f-b628-5cd9-b55c-08b8b468688d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5bf2b6bb-aaf0-425b-b9e0-2ba63182caf7"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,tg:rubgr:4036,e73_OtherIdentifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_106_021,repository numbers,,,,,,,,,,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,tg:rubgr:4036,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_106_021,titles proper,Dutch (language),,,,,,,,,,,,,,
07624847-a4ab-518e-8028-794a4e8fc38b,tg:rubgr:4036,e73_Titles,,,au::14164,,,,,,,rubgr_tekstdrager,,,,,,,rub,Tekstdrager,80abb133-7c38-5ef5-aa40-d82d46a3245d,kw,,au::14164:1,au::14164g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/1515548"",""au::14164"",""au::14164:1"",""ark:/83110/x0/80abb133-7c38-5ef5-aa40-d82d46a3245d"",""Abraham Ortelius"",""ark:/83110/x0/de75a05e-468f-53de-8c81-38d50c8427d6""],""name"":""Abraham Ortelius"",""ark"":""ark:/83110/x0/de75a05e-468f-53de-8c81-38d50c8427d6"",""uri"":""/agents/people/1515548"",""id"":""au::14164:1"",""resourceArk"":""ark:/83110/x0/80abb133-7c38-5ef5-aa40-d82d46a3245d"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/80abb133-7c38-5ef5-aa40-d82d46a3245d,,,,,,,,,,,,,,,,,,,
